# GENERATOR ObjectTrackingRegression
# Elapsed time in milliseconds

BoofCV-TLD
                              N       Mean      P05      P50      P95      MAX
  cliffbar                    328  44.5255   41.846   44.146  46.5151  132.565
  coke11                      292  31.3541  29.5356  30.8339  34.5965  56.2631
  david                       462   45.598  26.8679  49.3295  58.4778  60.8423
  dollar                      327  17.7671    11.22  19.2781  22.0764  23.1573
  faceocc                     886  46.3163  35.2358  45.5203  60.4575  62.9377
  faceocc2                    812  43.2615  34.3793  44.0244  52.7447  61.9458
  girl                        502  31.1426  22.2618  29.4669  42.1041  53.2918
  surfer                      376  31.6574  22.2762    32.37  39.0627  44.6513
  sylv                       1344  28.1335  12.3359  27.3683  49.7316  51.4045
  tiger1                      354  35.6975  28.0677  35.9583  42.4071  49.4617
  tiger2                      365  35.3679  27.7484  34.1434  43.5562  46.3465
  twinings                    467  40.7273  38.1586  40.4377   44.003   74.947
  01_david                    761  89.5276  76.5443  91.7896  97.3855  149.902
  02_jumping                  313  67.6705  53.5914  69.0943  76.3285  105.901
  03_pedestrian1              140  28.8373  23.9985  28.8638  33.3444  43.3539
  04_pedestrian2              338  11.3008  .744234  13.3257   17.558  18.8648
  05_pedestrian3              184  13.9558  9.38542  12.7165  20.8351  22.3584
  06_car                      945   11.575   5.1748  12.7234  16.5739  19.8041
  07_motocross               2665  33.2911  4.63359  34.6575   54.849  79.7241
  08_volkswagen              8576  105.864  80.4387   105.87  139.742  163.627
  09_carchase                9928  72.7756  35.9906   74.541  102.591  111.385
  10_panda                   3000   35.368  12.9147   35.701  53.5884  60.0334

BoofCV-Circulant
                              N       Mean      P05      P50      P95      MAX
  cliffbar                    328  1.11269  .707255  .744243  1.87861  19.7095
  coke11                      292  .724589  .704314  .709939  .785836  .905054
  david                       462   .75021  .721812  .740318  .823076   1.2535
  dollar                      327  .746961  .722388  .734103  .811507  1.22658
  faceocc                     886   .74468  .720118  .731628  .806513  1.35455
  faceocc2                    812   .69077  .656863  .676535  .774237  1.22601
  girl                        502  .747784   .70538  .734914  .841234  1.17858
  surfer                      376  .751348   .72546  .744982  .801836  1.13095
  sylv                       1344  .742153  .715526  .724159  .816679  1.28135
  tiger1                      354  .741533  .715247   .73419  .821973  1.24158
  tiger2                      365  .749968  .715608  .734495  .803784  1.63174
  twinings                    467  .740929  .715435  .734061  .795111   1.3521
  01_david                    761  .729653  .684274  .715198  .807266  1.22117
  02_jumping                  313  .740304  .713313  .732672  .813178  1.00113
  03_pedestrian1              140  .728137    .6936  .716596  .810379  .905021
  04_pedestrian2              338  .732863  .708785  .727669  .800206  .910188
  05_pedestrian3              184  .710837  .679247  .706171  .801764  .858604
  06_car                      945  .727189   .70042  .713851  .801931  1.14373
  07_motocross               2665  .717019  .678815  .713216  .780475   1.2829
  08_volkswagen              8576  .714845  .680626  .705786  .778558  1.26784
  09_carchase                9928  .701614  .679209  .695533    .7629  .988063
  10_panda                   3000  .733668  .714172  .717135   .79043  1.20547

BoofCV-Comaniciu
                              N       Mean      P05      P50      P95      MAX
  cliffbar                    328   .73911  .562797  .589025  1.19508  6.99968
  coke11                      292  .582531   .56486  .570828  .626789  .905293
  david                       462  .367017  .330763  .343308  .430409  1.22709
  dollar                      327  .583857  .566224   .57169  .644138  1.06798
  faceocc                     886  .380873  .335388  .380528  .444245  .802441
  faceocc2                    812  .577011  .514971   .57085  .638252  1.42225
  girl                        502  .595644  .514343  .560338  .722227  1.29166
  surfer                      376  .536203  .508261  .514489  .596978  1.20629
  sylv                       1344  .330705  .315001  .321128  .375054  .703413
  tiger1                      354  .572161   .54358  .553055  .707083  1.00163
  tiger2                      365   .56153  .543773  .551044  .609739  .723845
  twinings                    467  .568322  .545182  .560285  .618886  1.06836
  01_david                    761  .455658  .039549   .64738  .709406  .856472
  02_jumping                  313  .581032  .565405  .569836  .629409  .715469
  03_pedestrian1              140  .596529  .570168  .596873  .629123  .872148
  04_pedestrian2              338  .624761  .565858  .587706  .787964  1.01723
  05_pedestrian3              184  .552455  .227606  .572686  .690955  .751359
  06_car                      945  .668913  .567794  .595941  .986544   1.2167
  07_motocross               2665  1.02926  .997641  1.02394  1.10512  1.74822
  08_volkswagen              8576  .417872  .033121  .488166  .557267  1.38571
  09_carchase                9928   1.0086  .895478  1.00556  1.10463   1.8418
  10_panda                   3000  .921074   .89456  .915295  .986708  1.23247

BoofCV-SparseFlow
                              N       Mean      P05      P50      P95      MAX
  cliffbar                    328  1.20345  6.82E-04  1.02E-03  5.46038  13.3036
  coke11                      292  .506482  4.63E-04  5.57E-04   4.3128  5.64452
  david                       462  1.67497  4.37E-04  4.98E-04  4.94877  7.65109
  dollar                      327  3.73276   2.6934  3.76336  4.77958    5.854
  faceocc                     886  .451207  4.52E-04  5.11E-04  4.57952  6.29246
  faceocc2                    812  1.86593  4.49E-04  5.97E-04  4.55665  5.89797
  girl                        502  .188889  4.33E-04  4.90E-04  7.55E-04  7.52632
  surfer                      376   .48554  4.84E-04  5.56E-04   6.0419   7.1505
  sylv                       1344  1.88172  4.45E-04  5.40E-04  4.79499  5.48084
  tiger1                      354  .241768  4.01E-04  4.70E-04    .0169  6.56903
  tiger2                      365  .425936  3.93E-04  4.51E-04  4.86001  6.07668
  twinings                    467   2.5631  4.23E-04  3.46237  4.48525  5.54564
  01_david                    761  .016973  1.31E-04  1.70E-04  2.45E-04  6.44808
  02_jumping                  313   .22428  1.41E-04  1.77E-04  4.93E-04  6.78227
  03_pedestrian1              140  .432651  1.45E-04  1.69E-04  5.01624  6.48421
  04_pedestrian2              338  .143173  1.51E-04  1.76E-04  2.41E-04  5.45814
  05_pedestrian3              184  1.45979  1.49E-04  1.85E-04  5.22692  6.50735
  06_car                      945  2.34651  1.52E-04  3.78201  5.12419  7.02689
