# GENERATOR ECoCheckDetectionRegression
# Detection performance using labeled markers and corners.
# Minimum Score 2.220446049250313E-16 useIntersectionScore false
# name (count markers) (marker false positive) (marker false negative), (count corners) (percent FP) (percent FN), (duplicate markers) (duplicate corners), error50 err90 err100
#                                          CM MFP  MFN ,    CC  CFP  CFN , DM DC ,  MEAN    E50    E90    E100

9x7n1/axis_blur_0                          20   0    2 ,   864  0.0  2.4 ,  0  0 ,   0.10   0.10   0.17   0.32
9x7n1/axis_blur_1                          20   0    2 ,   864  0.0  0.2 ,  0  0 ,   0.10   0.10   0.17   0.33
9x7n1/axis_blur_2                          20   0    3 ,   816  0.0  0.2 ,  0  0 ,   0.11   0.11   0.19   0.46
9x7n1/axis_blur_3                          20   0    5 ,   720  0.0  0.0 ,  0  0 ,   0.12   0.11   0.19   0.90
9x7n1/axis_blur_4                          20   0    9 ,   528  0.0  0.2 ,  0  0 ,   0.14   0.12   0.22   1.66
9x7n1/fade                                 12   0    1 ,   528  0.0  0.0 ,  0  0 ,   0.11   0.10   0.17   0.37
9x7n1/fisheye_blur_0                       30   0    0 ,  1440  0.0  0.0 ,  0  0 ,   0.09   0.09   0.15   0.24
9x7n1/fisheye_blur_1                       30   0    0 ,  1440  0.0  0.0 ,  0  0 ,   0.09   0.09   0.15   0.26
9x7n1/fisheye_blur_2                       30   0    0 ,  1440  0.0  0.0 ,  0  0 ,   0.11   0.10   0.17   4.18
9x7n1/fisheye_blur_3                       30   0    0 ,  1440  0.0  0.1 ,  0  0 ,   0.15   0.13   0.25   0.77
9x7n1/fisheye_blur_4                       30   0    4 ,  1248  0.0  0.0 ,  0  1 ,   0.20   0.16   0.34  18.21
9x7n1/fisheye_extreme                      30   0    6 ,  1152  0.0  8.1 ,  0  0 ,   0.19   0.17   0.35   0.72
9x7n1/linear_blur                          42   0    6 ,  1728  0.0  0.0 ,  0  0 ,   0.15   0.14   0.25   2.80
9x7n1/move_away                            40   0    6 ,  1632  0.0  1.0 ,  0  0 ,   0.07   0.06   0.12   0.47
9x7n1/rotate_z                             40   0    0 ,  1920  0.0  0.0 ,  0  0 ,   0.11   0.11   0.17   0.26
9x7n1/shadows                              30   0    0 ,  1440  0.0 14.5 ,  0  0 ,   0.11   0.10   0.16   3.87
9x7n1/spotlight                            30   0    0 ,  1440  0.0 20.4 ,  0  0 ,   0.19   0.17   0.34   2.14
9x7n1e0/axis_blur_0                        20   0    1 ,   912  0.0  5.2 ,  0  0 ,   0.10   0.10   0.17   0.32
9x7n1e0/axis_blur_1                        20   0    3 ,   816  0.0  0.0 ,  0  0 ,   0.11   0.10   0.17   0.33
9x7n1e0/axis_blur_2                        20   0    2 ,   864  0.0  0.6 ,  0  0 ,   0.20   0.11   0.18  43.34
9x7n1e0/axis_blur_3                        20   0    4 ,   768  0.0  0.0 ,  0  0 ,   0.13   0.12   0.21   0.85
9x7n1e0/axis_blur_4                        20   0    4 ,   768  0.0  0.1 ,  0  0 ,   0.17   0.12   0.31   1.89
9x7n1e0/fade                               12   0    1 ,   528  0.0  0.0 ,  0  0 ,   0.11   0.10   0.17   0.37
9x7n1e0/fisheye_blur_0                     30   0    0 ,  1440  0.0  0.0 ,  0  0 ,   0.09   0.09   0.15   0.24
9x7n1e0/fisheye_blur_1                     30   0    0 ,  1440  0.0  0.0 ,  0  0 ,   0.09   0.09   0.15   0.26
9x7n1e0/fisheye_blur_2                     30   0    0 ,  1440  0.0  0.0 ,  0  0 ,   0.10   0.10   0.17   0.31
9x7n1e0/fisheye_blur_3                     30   0    0 ,  1440  0.0  0.0 ,  0  0 ,   0.14   0.12   0.23   0.77
9x7n1e0/fisheye_blur_4                     30   0    2 ,  1344  0.0  0.0 ,  0  0 ,   0.17   0.14   0.30   0.84
9x7n1e0/fisheye_extreme                    30   0    1 ,  1392  0.0  4.8 ,  0  0 ,   0.19   0.17   0.36   0.72
9x7n1e0/linear_blur                        42   0    0 ,  2016  0.0  0.0 ,  0  0 ,   0.15   0.13   0.25   6.24
9x7n1e0/move_away                          40   0    0 ,  1920  0.0 14.3 ,  0  0 ,   0.07   0.06   0.14   0.71
9x7n1e0/rotate_z                           40   0    0 ,  1920  0.0  0.0 ,  0  0 ,   0.11   0.11   0.17   0.26
9x7n1e0/shadows                            30   0    0 ,  1440  0.0 13.0 ,  0  0 ,   0.12   0.10   0.17   3.87
9x7n1e0/spotlight                          30   0    0 ,  1440  0.0 18.8 ,  0  0 ,   0.20   0.17   0.34   4.98

Summary                                   948   0   62 , 42528  0.0  3.5 ,  0  1 ,   0.13   0.11   0.22  43.34
