# GENERATOR AztecCodeDetectionRegression
# Detection performance using labeled markers and corners.
# Minimum Score 0.1 useIntersectionScore true
# name (count markers) (marker false positive) (marker false negative), (count corners) (percent FP) (percent FN), (duplicate markers) (duplicate corners), error50 err90 err100
#                                          CM MFP  MFN ,    CC  CFP  CFN , DM DC ,  MEAN    E50    E90    E100

/crumpled_layers_02                        13   0    1 ,    48  0.0  0.0 ,  0  0 ,   5.79   4.62  10.87  19.31
/crumpled_layers_17                        13   0   13 ,     0  NaN  NaN ,  0  0 ,    NaN    NaN    NaN    NaN
/documents                                  4   0    2 ,     8  0.0  0.0 ,  0  0 ,   1.10   0.74   1.88   2.22
/image_12mp                                 6   0    4 ,     8  0.0  0.0 ,  0  0 ,  13.52  10.27  18.09  33.62
/layers_02                                 11   0    0 ,    44  0.0  0.0 ,  0  0 ,   2.46   2.44   3.85   4.62
/layers_05                                 11   0    0 ,    44  0.0  0.0 ,  0  0 ,   3.32   3.34   6.09   7.14
/layers_17                                 17   0   13 ,    16  0.0  0.0 ,  0  0 ,   6.19   4.43  11.11  14.17
/monitor                                   18   0    3 ,    60  0.0  0.0 ,  0  0 ,   6.95   6.49  11.23  15.60
/outdoors                                  20   0    5 ,    60  0.0  0.0 ,  0  0 ,   2.49   1.96   3.53  13.82
synthetic/axis_blur_0                      20   0    2 ,    72  0.0  0.0 ,  0  0 ,   0.20   0.19   0.37   0.54
synthetic/axis_blur_1                      20   0    2 ,    72  0.0  0.0 ,  0  0 ,   0.64   0.57   1.12   2.27
synthetic/axis_blur_2                      20   0    4 ,    64  0.0  0.0 ,  0  0 ,   2.15   1.96   3.25   5.48
synthetic/axis_blur_3                      20   0    6 ,    56  0.0  0.0 ,  0  0 ,   4.91   4.54   8.94  13.18
synthetic/axis_blur_4                      20   0   10 ,    40  0.0  0.0 ,  0  0 ,   5.76   4.86  10.23  13.39
synthetic/fade                             12   0    1 ,    44  0.0  0.0 ,  0  0 ,   0.27   0.21   0.47   0.94
synthetic/fisheye_blur_0                   30   0   30 ,     0  NaN  NaN ,  0  0 ,    NaN    NaN    NaN    NaN
synthetic/fisheye_blur_1                   30   0   30 ,     0  NaN  NaN ,  0  0 ,    NaN    NaN    NaN    NaN
synthetic/fisheye_blur_2                   30   0   28 ,     8  0.0  0.0 ,  0  0 ,  11.47   9.61  13.55  14.47
synthetic/fisheye_blur_3                   30   0   24 ,    24  0.0  0.0 ,  0  0 ,  10.17   8.80  16.61  18.09
synthetic/fisheye_blur_4                   30   0   26 ,    16  0.0  0.0 ,  0  0 ,   8.80   8.36  15.38  16.63
synthetic/fisheye_extreme                  30   0   30 ,     0  NaN  NaN ,  0  0 ,    NaN    NaN    NaN    NaN
synthetic/linear_blur                      42   0   12 ,   120  0.0  0.0 ,  0  0 ,   2.70   1.80   6.30  11.51
synthetic/move_away                        40   0   17 ,    92  0.0  0.0 ,  0  0 ,   0.22   0.14   0.46   1.04
synthetic/rotate_z                         40   0    0 ,   160  0.0  0.0 ,  0  0 ,   0.26   0.21   0.49   0.89
synthetic/shadows                          30   0   20 ,    40  0.0  0.0 ,  0  0 ,   0.16   0.15   0.20   0.52
synthetic/spotlight                        30   0   28 ,     8  0.0  0.0 ,  0  0 ,   1.00   0.90   1.53   1.71

Summary                                   587   0  311 ,  1104  0.0  0.0 ,  0  0 ,   2.63   1.01   7.91  33.62
