# GENERATOR StereoSequenceConsistencyRegression
Scenario: ground_tile

Frame Type  Overlap |  mean   p50   p95   p995  max
 12  same     85%   | -0.037 0.111 0.251 0.346 0.421
 12  project  79%   |  0.060 0.060 0.117 0.159 0.210
 13  same     85%   |  0.071 0.166 0.369 0.408 0.441
 13  project  79%   |  0.132 0.131 0.196 0.229 0.300
 14  same     84%   |  0.003 0.088 0.196 0.260 0.343
 14  project  78%   |  0.001 0.019 0.075 0.114 0.160
 15  same     86%   |  0.017 0.046 0.123 0.151 0.180
 15  project  79%   |  0.076 0.076 0.140 0.184 0.226
 16  same     86%   | -0.015 0.044 0.115 0.147 0.178
 16  project  80%   |  0.019 0.022 0.067 0.115 0.170
 17  same     84%   | -0.013 0.175 0.375 0.480 0.566
 17  project  78%   |  0.060 0.059 0.126 0.170 0.214
 18  same     85%   |  0.048 0.088 0.219 0.254 0.285
 18  project  78%   |  0.195 0.195 0.269 0.308 0.352
 19  same     85%   | -0.036 0.066 0.168 0.249 0.320
 19  project  78%   |  0.130 0.130 0.184 0.219 0.264
 20  same     84%   | -0.022 0.042 0.134 0.193 0.257
 20  project  77%   |  0.240 0.242 0.306 0.351 0.401
 21  same     84%   |  0.140 0.243 0.573 0.614 0.656
 21  project  77%   |  0.202 0.202 0.261 0.306 0.374
 22  same     84%   |  0.026 0.134 0.302 0.372 0.442
 22  project  77%   | -0.002 0.017 0.058 0.079 0.124
 23  same     85%   |  0.015 0.199 0.380 0.418 0.523
 23  project  78%   |  0.079 0.078 0.127 0.160 0.205
 24  same     84%   |  0.032 0.060 0.167 0.207 0.246
 24  project  78%   | -0.104 0.105 0.151 0.186 0.236
 25  same     84%   |  0.025 0.120 0.241 0.294 0.364
 25  project  77%   | -0.017 0.024 0.078 0.112 0.163
 26  same     85%   |  0.017 0.102 0.206 0.236 0.305
 26  project  78%   |  0.072 0.072 0.125 0.168 0.216
 27  same     85%   |  0.012 0.023 0.066 0.115 0.175
 27  project  79%   | -0.015 0.020 0.066 0.095 0.139
 28  same     85%   | -0.015 0.124 0.253 0.308 0.403
 28  project  78%   |  0.040 0.041 0.088 0.120 133.462
 29  same     85%   | -0.010 0.020 0.066 0.130 0.192
 29  project  78%   |  0.168 0.167 0.220 0.248 0.305
 30  same     85%   |  0.077 0.168 0.403 0.488 0.601
 30  project  78%   |  0.148 0.147 0.213 0.247 0.316
 31  same     86%   | -0.001 0.034 0.086 0.153 0.246
 31  project  80%   | -0.022 0.026 0.073 0.153 0.214
 32  same     84%   | -0.027 0.088 0.207 0.263 0.312
 32  project  78%   |  0.007 0.021 0.086 0.141 0.215
 33  same     84%   |  0.034 0.044 0.133 0.162 192.325
 33  project  77%   | -0.063 0.063 0.138 0.175 0.217
 34  same     85%   |  0.001 0.026 0.069 0.096 0.130
 34  project  79%   | -0.016 0.026 0.079 0.114 0.159
 35  same     84%   | -0.042 0.056 0.169 0.224 0.283
 35  project  78%   | -0.053 0.053 0.117 0.164 0.205
 36  same     84%   |  0.048 0.097 0.226 0.278 0.355
 36  project  77%   | -0.074 0.073 0.145 0.191 0.251

Overall: N=50 average_P95=0.1799
