# GENERATOR ECoCheckDetectionRegression
# Detection performance using labeled markers and corners.
# name (count markers) (marker false positive) (marker false negative), (count corners) (percent FP) (percent FN), (duplicate markers) (duplicate corners), error50 err90 err100
#                                         CM MFP  MFN ,    CC  CFP  CFN , DM DC ,   E50    E90    E100

9x7e0n1/axis_blur0                        20   0    0 ,   960  0.0 12.7 ,  0  0 ,   0.10   0.17   0.31
9x7e0n1/axis_blur1                        20   0    2 ,   864  0.0  0.0 ,  0  0 ,   0.10   0.16   0.30
9x7e0n1/axis_blur2                        20   0    2 ,   864  0.0  0.7 ,  0  0 ,   0.11   0.19   0.50
9x7e0n1/axis_blur3                        20   0    2 ,   864  0.0  1.3 ,  0  0 ,   0.15   0.33   2.03
9x7e0n1/axis_blur4                        20   0    4 ,   768  0.0  0.7 ,  0  0 ,   0.15   0.35   1.91
9x7e0n1/fade                              12   0    1 ,   528  0.0  0.0 ,  0  0 ,   0.11   0.19   0.47
9x7e0n1/fisheye_blur0                     30   0    0 ,  1440  0.0  0.0 ,  0  0 ,   0.09   0.15   0.26
9x7e0n1/fisheye_blur1                     30   0    0 ,  1440  0.0  0.0 ,  0  0 ,   0.09   0.15   0.25
9x7e0n1/fisheye_blur2                     30   0    0 ,  1440  0.0  0.0 ,  0  0 ,   0.09   0.17   0.29
9x7e0n1/fisheye_blur3                     30   0    0 ,  1440  0.0  0.0 ,  0  0 ,   0.16   0.31   0.77
9x7e0n1/fisheye_blur4                     30   0    1 ,  1392  0.0  0.0 ,  0  1 ,   0.16   0.33  18.60
9x7e0n1/fisheye_extreme                   30   0    1 ,  1392  0.0  3.4 ,  0  0 ,   0.17   0.37 541.49
9x7e0n1/linear_blur                       42   0    1 ,  1968  0.0  1.1 ,  0  0 ,   0.14   0.27   6.20
9x7e0n1/move_away                         40   0    1 ,  1872  0.0 16.9 ,  0  0 ,   0.06   0.16   1.02
9x7e0n1/rotate_z                          40   0    0 ,  1920  0.0  0.0 ,  0  0 ,   0.11   0.17   0.27
9x7e0n1/shadows                           30   0    0 ,  1440  0.0 13.6 ,  0  0 ,   0.09   0.15   5.24
9x7e0n1/spotlight                         30   0    0 ,  1440  0.0 22.1 ,  0  0 ,   0.18   0.37   6.34
9x7e3n1/axis_blur0                        20   0    2 ,   864  0.0  0.7 ,  0  0 ,   0.10   0.17   0.31
9x7e3n1/axis_blur1                        20   0    2 ,   864  0.0  0.0 ,  0  0 ,   0.10   0.16   0.30
9x7e3n1/axis_blur2                        20   0    3 ,   816  0.0  0.1 ,  0  0 ,   0.11   0.19   0.50
9x7e3n1/axis_blur3                        20   0    5 ,   720  0.0  0.1 ,  0  0 ,   0.12   0.22   1.29
9x7e3n1/axis_blur4                        20   0    7 ,   624  0.0  0.0 ,  0  0 ,   0.14   0.25   1.89
9x7e3n1/fade                              12   0    1 ,   528  0.0  0.0 ,  0  0 ,   0.11   0.19   0.47
9x7e3n1/fisheye_blur0                     30   0    0 ,  1440  0.0  0.0 ,  0  0 ,   0.09   0.15   0.26
9x7e3n1/fisheye_blur1                     30   0    0 ,  1440  0.0  0.0 ,  0  0 ,   0.09   0.15   0.25
9x7e3n1/fisheye_blur2                     30   0    0 ,  1440  0.0  0.0 ,  0  0 ,   0.09   0.17   2.86
9x7e3n1/fisheye_blur3                     30   0    0 ,  1440  0.0  0.0 ,  0  0 ,   0.13   0.27   2.98
9x7e3n1/fisheye_blur4                     30   0    8 ,  1056  0.0  0.0 ,  0  0 ,   0.18   0.41   0.83
9x7e3n1/fisheye_extreme                   30   0    3 ,  1296  0.0 17.5 ,  0  0 ,   0.17   0.37   0.70
9x7e3n1/linear_blur                       42   0    6 ,  1728  0.0  0.0 ,  0  0 ,   0.14   0.27   9.46
9x7e3n1/move_away                         40   0    6 ,  1632  0.0  3.6 ,  0  0 ,   0.06   0.13   0.70
9x7e3n1/rotate_z                          40   0    0 ,  1920  0.0  0.0 ,  0  0 ,   0.11   0.17   0.27
9x7e3n1/shadows                           30   0    0 ,  1440  0.0 14.0 ,  0  0 ,   0.09   0.15   5.24
9x7e3n1/spotlight                         30   0    0 ,  1440  0.0 23.5 ,  0  0 ,   0.18   0.36   2.51

Summary                                  948   0   58 , 42720  0.0  4.4 ,  0  1 ,   0.11   0.24 541.49
