# GENERATOR StereoSequenceConsistencyRegression
Scenario: ground_tile

Frame Type  Overlap |  mean   p50   p95   p995  max
 12  same     85%   | -0.036 0.113 0.256 0.352 0.427
 12  project  79%   |  0.060 0.059 0.118 0.159 0.209
 13  same     85%   |  0.071 0.167 0.369 0.407 0.445
 13  project  79%   |  0.132 0.132 0.196 0.230 0.305
 14  same     84%   |  0.003 0.090 0.194 0.258 0.352
 14  project  78%   |  0.001 0.019 0.075 0.115 0.165
 15  same     86%   |  0.017 0.046 0.122 0.154 0.182
 15  project  79%   |  0.076 0.076 0.141 0.184 0.230
 16  same     86%   | -0.014 0.044 0.118 0.151 0.177
 16  project  80%   |  0.019 0.022 0.067 0.115 0.172
 17  same     84%   | -0.013 0.176 0.374 0.476 0.568
 17  project  78%   |  0.060 0.058 0.126 0.170 0.214
 18  same     85%   |  0.048 0.089 0.221 0.251 0.293
 18  project  78%   |  0.195 0.195 0.269 0.308 0.353
 19  same     85%   | -0.036 0.066 0.168 0.249 0.318
 19  project  78%   |  0.130 0.131 0.184 0.220 0.262
 20  same     84%   | -0.022 0.043 0.134 0.192 0.262
 20  project  77%   |  0.240 0.242 0.306 0.351 0.394
 21  same     84%   |  0.139 0.243 0.572 0.614 0.661
 21  project  77%   |  0.202 0.202 0.261 0.308 0.377
 22  same     84%   |  0.026 0.135 0.304 0.371 0.433
 22  project  77%   | -0.002 0.017 0.058 0.080 0.124
 23  same     85%   |  0.015 0.198 0.381 0.417 0.519
 23  project  78%   |  0.079 0.079 0.129 0.161 0.203
 24  same     84%   |  0.032 0.061 0.168 0.209 0.245
 24  project  78%   | -0.104 0.105 0.151 0.187 0.238
 25  same     84%   |  0.026 0.121 0.240 0.293 0.356
 25  project  77%   | -0.017 0.025 0.079 0.112 0.167
 26  same     85%   |  0.017 0.100 0.206 0.238 0.312
 26  project  78%   |  0.072 0.072 0.125 0.168 0.218
 27  same     85%   |  0.012 0.025 0.067 0.113 0.183
 27  project  79%   | -0.015 0.020 0.066 0.095 0.137
 28  same     85%   | -0.016 0.126 0.251 0.306 0.402
 28  project  78%   |  0.040 0.041 0.089 0.120 133.339
 29  same     85%   | -0.009 0.021 0.067 0.132 0.192
 29  project  78%   |  0.168 0.168 0.220 0.249 0.306
 30  same     85%   |  0.077 0.166 0.404 0.481 0.602
 30  project  78%   |  0.148 0.147 0.214 0.248 0.318
 31  same     86%   | -0.001 0.034 0.090 0.157 0.245
 31  project  80%   | -0.022 0.026 0.074 0.154 0.216
 32  same     84%   | -0.027 0.089 0.207 0.265 0.312
 32  project  78%   |  0.007 0.022 0.087 0.142 0.214
 33  same     84%   |  0.034 0.045 0.134 0.163 192.349
 33  project  77%   | -0.063 0.062 0.137 0.177 0.216
 34  same     85%   |  0.001 0.026 0.072 0.099 0.138
 34  project  79%   | -0.016 0.025 0.079 0.113 0.156
 35  same     84%   | -0.041 0.058 0.171 0.224 0.289
 35  project  78%   | -0.053 0.053 0.116 0.166 0.204
 36  same     84%   |  0.048 0.097 0.227 0.277 0.349
 36  project  77%   | -0.074 0.072 0.145 0.192 0.248

Overall: N=50 average_P95=0.1806
