# GENERATOR PoseNPointFRegression
Planar square target. Pixel Stdev = 1.0
    range tests: distance = 1 to 10  max_tilt = 45 degrees
    angle tests: distance = 1.5      angle    = 0 to 45 degrees

GRUNERT
        file                N   tran50  tran95  ang50   ang95
center_angle_00           4000   0.018   0.050  0.2229  0.3140
center_angle_01           4000   0.017   0.049  0.2206  0.3266
center_angle_02           4000   0.016   0.049  0.2113  0.3559
center_angle_03           4000   0.015   0.047  0.1946  0.3636
center_angle_04           4000   0.015   0.047  0.1720  0.3750
center_angle_05           4000   0.014   0.046  0.1437  0.3663
center_angle_06           4000   0.014   0.045  0.1236  0.3618
center_angle_07           4000   0.014   0.043  0.1016  0.3381
center_angle_08           4000   0.013   0.043  0.0881  0.3341
center_angle_09           4000   0.013   0.042  0.0733  0.3296
range_00                  4000   0.007   0.037  0.1091  0.3615
range_01                  4000   0.014   0.044  0.1645  0.3421
range_02                  4000   0.020   0.061  0.1777  0.3812
range_03                  4000   0.030   0.086  0.2040  0.4711
range_04                  4000   0.043   0.122  0.2345  0.5451
range_05                  4000   0.058   0.165  0.2596  0.6339
range_06                  4000   0.078   0.222  0.2888  0.6514
range_07                  4000   0.094   0.270  0.3107  0.7218
range_08                  4000   0.117   0.340  0.3317  0.7362
range_09                  4000   0.148   0.404  0.3456  0.7366
range_10                  4000   0.171   0.472  0.3655  0.8012
range_11                  4000   0.205   0.567  0.3817  0.7699
range_12                  4000   0.243   0.657  0.3940  0.7969
range_13                  4000   0.273   0.735  0.4068  0.8107
range_14                  4000   0.309   0.837  0.4267  0.8474
range_15                  4000   0.360   0.931  0.4325  0.8208
range_16                  4000   0.414   1.084  0.4524  0.8394
range_17                  4000   0.450   1.178  0.4701  0.8604
range_18                  3999   0.499   1.348  0.4808  0.8824
range_19                  4000   0.563   1.461  0.4889  0.8761

FINSTERWALDER
        file                N   tran50  tran95  ang50   ang95
center_angle_00           4000   0.018   0.050  0.2229  0.3140
center_angle_01           4000   0.017   0.049  0.2206  0.3266
center_angle_02           4000   0.016   0.049  0.2113  0.3559
center_angle_03           4000   0.015   0.047  0.1946  0.3636
center_angle_04           4000   0.015   0.047  0.1720  0.3750
center_angle_05           4000   0.014   0.046  0.1437  0.3663
center_angle_06           4000   0.014   0.045  0.1236  0.3618
center_angle_07           4000   0.014   0.043  0.1016  0.3381
center_angle_08           4000   0.013   0.043  0.0881  0.3341
center_angle_09           4000   0.013   0.042  0.0733  0.3296
range_00                  4000   0.007   0.037  0.1091  0.3615
range_01                  4000   0.014   0.044  0.1645  0.3421
range_02                  4000   0.020   0.061  0.1777  0.3812
range_03                  4000   0.030   0.086  0.2040  0.4711
range_04                  4000   0.043   0.122  0.2345  0.5451
range_05                  4000   0.058   0.165  0.2595  0.6339
range_06                  4000   0.078   0.222  0.2888  0.6514
range_07                  4000   0.094   0.270  0.3105  0.7218
range_08                  4000   0.117   0.340  0.3317  0.7362
range_09                  3999   0.148   0.404  0.3457  0.7366
range_10                  4000   0.171   0.472  0.3655  0.8012
range_11                  4000   0.205   0.567  0.3817  0.7699
range_12                  4000   0.243   0.657  0.3940  0.7969
range_13                  4000   0.273   0.735  0.4068  0.8107
range_14                  4000   0.309   0.837  0.4267  0.8474
range_15                  4000   0.360   0.931  0.4325  0.8208
range_16                  4000   0.414   1.084  0.4526  0.8394
range_17                  4000   0.450   1.178  0.4701  0.8604
range_18                  4000   0.498   1.348  0.4807  0.8824
range_19                  4000   0.563   1.461  0.4889  0.8761

EPNP
        file                N   tran50  tran95  ang50   ang95
center_angle_00           4000   0.012   0.028  0.1675  0.2423
center_angle_01           4000   0.010   0.028  0.1635  0.2524
center_angle_02           4000   0.010   0.027  0.1562  0.2874
center_angle_03           4000   0.010   0.027  0.1379  0.3193
center_angle_04           4000   0.010   0.027  0.1220  0.3787
center_angle_05           4000   0.009   0.026  0.1002  0.4008
center_angle_06           4000   0.010   0.026  0.0827  0.3670
center_angle_07           4000   0.009   0.026  0.0689  0.3547
center_angle_08           4000   0.009   0.025  0.0591  0.3720
center_angle_09           4000   0.009   0.026  0.0518  0.3487
range_00                  4000   0.005   0.011  0.0741  0.1966
range_01                  4000   0.009   0.024  0.1106  0.2933
range_02                  4000   0.015   0.042  0.1483  0.4248
range_03                  4000   0.023   0.063  0.1821  0.5420
range_04                  4000   0.034   0.090  0.2058  0.6056
range_05                  4000   0.045   0.124  0.2312  0.6667
range_06                  4000   0.061   0.163  0.2544  0.6797
range_07                  4000   0.074   0.206  0.2718  0.7491
range_08                  4000   0.092   0.247  0.2883  0.7273
range_09                  4000   0.112   0.290  0.3003  0.7668
range_10                  4000   0.131   0.354  0.3148  0.7589
range_11                  4000   0.155   0.413  0.3310  0.7480
range_12                  4000   0.179   0.472  0.3438  0.7862
range_13                  4000   0.212   0.548  0.3541  0.7911
range_14                  4000   0.238   0.628  0.3616  0.7893
range_15                  4000   0.271   0.704  0.3776  0.7856
range_16                  4000   0.307   0.783  0.3877  0.7806
range_17                  4000   0.336   0.835  0.3976  0.8307
range_18                  4000   0.378   0.945  0.4131  0.8226
range_19                  4000   0.421   1.038  0.4198  0.8323

IPPE
        file                N   tran50  tran95  ang50   ang95
center_angle_00           4000   0.012   0.028  0.1676  0.2418
center_angle_01           4000   0.010   0.028  0.1631  0.2515
center_angle_02           4000   0.010   0.027  0.1510  0.2765
center_angle_03           4000   0.010   0.027  0.1278  0.2827
center_angle_04           4000   0.009   0.026  0.1069  0.2819
center_angle_05           4000   0.009   0.026  0.0887  0.2772
center_angle_06           4000   0.009   0.026  0.0744  0.2582
center_angle_07           4000   0.009   0.026  0.0634  0.2438
center_angle_08           4000   0.009   0.025  0.0555  0.2440
center_angle_09           4000   0.009   0.026  0.0489  0.2393
range_00                  4000   0.004   0.011  0.0711  0.1769
range_01                  4000   0.009   0.024  0.0996  0.2450
range_02                  4000   0.015   0.042  0.1355  0.3227
range_03                  4000   0.023   0.063  0.1702  0.4305
range_04                  4000   0.034   0.091  0.1976  0.5206
range_05                  4000   0.046   0.124  0.2242  0.6123
range_06                  4000   0.062   0.163  0.2471  0.6101
range_07                  4000   0.075   0.207  0.2654  0.7084
range_08                  4000   0.093   0.247  0.2841  0.7142
range_09                  4000   0.114   0.293  0.2962  0.7211
range_10                  4000   0.133   0.358  0.3136  0.7591
range_11                  4000   0.159   0.417  0.3282  0.7341
range_12                  4000   0.183   0.477  0.3390  0.7739
range_13                  4000   0.218   0.557  0.3514  0.7811
range_14                  4000   0.246   0.636  0.3589  0.8009
range_15                  4000   0.279   0.719  0.3722  0.7781
range_16                  4000   0.320   0.800  0.3864  0.7856
range_17                  4000   0.350   0.857  0.3976  0.8186
range_18                  4000   0.393   0.978  0.4114  0.8314
range_19                  4000   0.440   1.058  0.4174  0.8190

