# GENERATOR TextThresholdRegression
# Elapsed time in milliseconds

Summary:
                              N       Mean      P05      P50      P95      MAX
  Global_Mean                  10  2.84155   1.0156  2.13459  5.05338  8.51528
  Global_Otsu                  10  2.73339   1.0184  1.85459  4.24338  9.05554
  Global_Entropy               10  2.40546  1.19294  2.02807  3.47396  5.23797
  Global_Li                    10  2.20474  .975561  1.94501  3.46113  4.21474
  Global_Huang                 10  4.15166  2.42652  3.77565  5.13749  9.16315
  Local_Mean                   10  16.1277  5.75788  8.33884  22.9707  73.2937
  Local_Gaussian               10   73.367  30.6267  63.2083  130.818  145.413
  Local_Otsu                   10  1451.21   666.64  1584.24  1850.23  3167.52
  Local_Sauvola                10  21.6553  7.78155  17.2848  37.8944  55.6433
  Local_NICK                   10  19.8041  9.96619   17.427  33.3972  34.4002
  Block_Min-Max                10  6.79025  1.51199  2.96393  19.8734  22.4633
  Block_Mean                   10  4.56054  1.42394  2.73053  9.01128  15.3428
  Block_Otsu                   10   10.675   2.6792   5.4236  32.4078  35.5497
