# GENERATOR ObjectTrackingRegression
# Elapsed time in milliseconds

BoofCV-TLD
                              N       Mean      P05      P50      P95      MAX
  cliffbar                    328  42.7195  40.0663  42.3483  44.9043  128.353
  coke11                      292  30.3807  28.4026  29.7871  33.5141  55.5613
  david                       462  44.1796  26.1905  47.6613  55.5431  59.2173
  dollar                      327  17.5738  10.9729  19.0978  22.0538   24.124
  faceocc                     886  44.6605   34.236  44.0599   57.909  60.1594
  faceocc2                    812  41.8615  33.1493  42.5084  51.9943  64.8211
  girl                        502  30.4043   21.558  28.6873  41.3877  57.7657
  surfer                      376  30.8107  21.7279  31.4642   37.847  42.0022
  sylv                       1344  27.6244  12.4414  26.9522  48.5772  52.3282
  tiger1                      354  34.6252  26.6867   35.012  41.3259  52.0624
  tiger2                      365  34.4024  26.8853  33.2943  42.4615  48.1952
  twinings                    467  39.4384  36.7826  38.9935  42.6493  79.5261
  01_david                    761   85.636   73.168  87.5158  92.6604  159.768
  02_jumping                  313  64.6588  50.4667   65.854  73.4937  110.533
  03_pedestrian1              140  27.9377  23.5622  27.7267  32.2419  46.6207
  04_pedestrian2              338   11.141  .749106  13.2128  17.1987  22.9086
  05_pedestrian3              184  13.5802  9.16599  12.4388  19.7967  21.7099
  06_car                      945  11.4342    4.964  12.5512  16.1726  20.5348
  07_motocross               2665  32.5807  4.51053  34.0518  53.4651  76.6258
  08_volkswagen              8576  104.314   79.136  104.036  138.681  170.799
  09_carchase                9928  72.2857  36.1433  73.8583  101.321  108.483
  10_panda                   3000  35.1803  13.1209  35.4054  52.7678  58.9762

BoofCV-Circulant
                              N       Mean      P05      P50      P95      MAX
  cliffbar                    328  1.01511  .687701  .720935  1.90327  12.7293
  coke11                      292  .705963  .683012  .688013   .74427  1.25452
  david                       462  .770744  .737454   .74564  .860758   1.3139
  dollar                      327   .75492  .737839  .741304  .800464  1.24371
  faceocc                     886   .75943  .738215  .741581  .800793  1.29932
  faceocc2                    812   .75718  .732919  .743134  .809342  1.23915
  girl                        502  .746436   .72041  .727317  .815279  1.24742
  surfer                      376  .741081  .725982  .730662  .776671  1.02244
  sylv                       1344  .746357  .724736  .743397  .788805  1.15112
  tiger1                      354  .738794  .722259  .726133  .783897  .922222
  tiger2                      365  .739107  .721814  .725847   .78387  1.05928
  twinings                    467  .741955  .724591  .726042  .785795  1.05695
  01_david                    761   .73264  .696616   .72536  .782989  .854214
  02_jumping                  313  .738774  .722566  .726001  .784353  .861709
  03_pedestrian1              140  .731888  .709285  .725267  .783733  .829462
  04_pedestrian2              338  .736246  .721246  .725291  .779026  .974608
  05_pedestrian3              184  .723707  .697461  .722894  .773616  .862818
  06_car                      945  .733856  .714894  .724944  .768381  1.15092
  07_motocross               2665  .719432  .692945  .716343  .762405  .901685
  08_volkswagen              8576  .720051  .695224  .716299   .76069  1.11569
  09_carchase                9928  .707654  .692343  .695144   .74817  .989693
  10_panda                   3000  .733612  .711675   .72243  .770794  .963022

BoofCV-Comaniciu
                              N       Mean      P05      P50      P95      MAX
  cliffbar                    328  .751315  .571922  .600811  1.16683  6.96675
  coke11                      292  .590627  .570079  .584545  .622643  1.17554
  david                       462   .36269  .302534  .347174  .402765  1.17096
  dollar                      327  .584925  .571995  .576596  .627048  .953899
  faceocc                     886  .366391  .344571  .359573  .406896  .724538
  faceocc2                    812   .59355  .576802  .582013  .630314  .985698
  girl                        502  .618513  .577211  .604731  .706131  1.01471
  surfer                      376  .584338  .571178  .576744  .621527  .715714
  sylv                       1344  .351727  .342734  .343942  .375737  .577862
  tiger1                      354  .591146  .569855  .578847  .663605  .903726
  tiger2                      365  .588404  .570048  .578344  .625446  .985218
  twinings                    467  .587244  .570595   .57855  .627511  .897208
  01_david                    761  .458666  .039789  .666803  .700351  .874421
  02_jumping                  313  .577585  .569231  .571718  .605883  .674926
  03_pedestrian1              140  .577579  .569928  .572218  .619012  .661972
  04_pedestrian2              338  .599201  .569423  .578055   .70787  .877474
  05_pedestrian3              184  .540253  .213281  .571431  .639026  .752961
  06_car                      945  .604059  .569892  .585149  .691589  .759905
  07_motocross               2665  .654142  .614647  .667052   .70246  .888381
  08_volkswagen              8576  .337559  .026689  .389697   .45198  .790677
  09_carchase                9928   .68636  .523998  .619669   1.0444  1.40295
  10_panda                   3000  .933154  .916426    .9178  .976441  1.43878

BoofCV-SparseFlow
                              N       Mean      P05      P50      P95      MAX
  cliffbar                    328  1.22265  6.80E-04  9.08E-04  5.48652    17.39
  coke11                      292  .498019  4.54E-04  5.48E-04  4.18456    5.525
  david                       462  1.65635  4.51E-04  5.50E-04  4.93218  6.79592
  dollar                      327  3.74667  2.68757   3.7931  4.74909  6.03794
  faceocc                     886  .447114  4.63E-04  5.27E-04  4.58066  6.09569
  faceocc2                    812  1.85689  4.81E-04  6.22E-04  4.49434  5.60295
  girl                        502   .19282  4.59E-04  5.30E-04  6.55E-04   7.4656
  surfer                      376  .486541  4.67E-04  5.39E-04   5.9903  8.43687
  sylv                       1344  1.87599  4.33E-04  5.35E-04  4.78782  6.63137
  tiger1                      354  .239818  4.08E-04  4.79E-04  .018365  6.58763
  tiger2                      365  .425935  3.71E-04  4.33E-04  4.79652  6.64497
  twinings                    467  2.59697  4.12E-04  3.46539  4.49272  5.44043
  01_david                    761  .017252  1.43E-04  1.87E-04  2.54E-04  6.59135
  02_jumping                  313  .225789  1.50E-04  1.89E-04  8.70E-04  6.75354
  03_pedestrian1              140  .434908  1.28E-04  1.90E-04  5.11809   6.4216
  04_pedestrian2              338  .144695  1.17E-04  1.60E-04  2.41E-04  5.32852
  05_pedestrian3              184  1.44549  1.48E-04  1.99E-04  5.09133  6.28017
  06_car                      945     2.35  1.49E-04  3.80341  5.14055  7.13287
  07_motocross               2665  .017961  1.71E-04  2.36E-04  4.58E-04  7.74134
  08_volkswagen              8576  .017209  1.48E-04  1.91E-04  3.86E-04  6.30167
  09_carchase                9928   .01887  1.23E-04  1.87E-04  4.24E-04  6.81292
  10_panda                   3000  .058452  1.03E-04  3.49E-04  4.71E-04  5.02039

Summary:
                              N       Mean      P05      P50      P95      MAX
  BoofCV-TLD                33365  64.1635  13.8711  65.4151  118.433  170.799
  BoofCV-Circulant          33365  .726797  .692716   .72184  .773838  12.7293
  BoofCV-Comaniciu          33365  .570083  .088687  .586633  1.01531  6.96675
  BoofCV-SparseFlow         33365  .357664  1.27E-04  2.21E-04   4.1729    17.39
