# GENERATOR TextThresholdRegression
# Elapsed time in milliseconds

Summary:
                              N       Mean      P05      P50      P95      MAX
  Global_Mean                  10  2.84282  1.00194  2.11178   5.1973  8.46446
  Global_Otsu                  10  2.73151  .964984  1.86515   4.1057  9.00405
  Global_Entropy               10  2.39352  1.22971  1.99972  3.42667  5.19882
  Global_Li                    10  2.12936  .967548  1.86141  3.37548  4.17596
  Global_Huang                 10  4.13496  2.43937  3.77426  4.94236  9.06202
  Local_Mean                   10  16.6057  6.37613  9.71808  20.4487  73.7299
  Local_Gaussian               10  73.1884  30.6969  63.6469  129.287  144.633
  Local_Otsu                   10  1453.99  666.841  1588.65  1855.24   3173.4
  Local_Sauvola                10  21.4861  7.70303  16.7398  37.6715  55.6016
  Local_NICK                   10  19.6346  9.92734  17.4818  33.2586  34.1326
  Block_Min-Max                10  6.82545  1.49632  2.94659  20.0348  22.5295
  Block_Mean                   10  4.53021  1.42909  2.76212  8.93328  15.0554
  Block_Otsu                   10  10.0249  3.09199  6.02852  19.4258  32.9095
