# GENERATOR ObjectTrackingRegression
# Elapsed time in milliseconds

BoofCV-TLD
                              N       Mean      P05      P50      P95      MAX
  cliffbar                    328  52.0966  48.1852  51.6249  56.0232  140.654
  coke11                      292  39.4289  35.6164  38.8281  45.4488  65.3264
  david                       462  53.8521  32.7144  58.0536  68.1928  74.3817
  dollar                      327  20.6057  12.7568  22.6007  25.7394  27.3159
  faceocc                     886   52.411  41.1364  51.8719  66.4203  76.3453
  faceocc2                    812  49.6357  40.1203  50.3821  60.0845  69.1063
  girl                        502  37.6346  26.3508  36.5616   49.818  59.7032
  surfer                      376   38.061  26.2617  38.7648  47.7028  53.3733
  sylv                       1344  30.8584  14.0996   30.478   50.144  61.6408
  tiger1                      354  40.6385  30.7101  41.2746  48.4068  54.6244
  tiger2                      365  40.9724  32.1815  41.4821  48.9222  54.5289
  twinings                    467  46.5965  43.3487  46.3308  50.1486  83.9327
  01_david                    761  103.384  87.4971   104.75  115.468  162.632
  02_jumping                  313  75.0704  60.1636  76.8274  84.6883  114.066
  03_pedestrian1              140  33.0651  28.0309   32.233  39.1653  47.0516
  04_pedestrian2              338  13.2109  .846073  16.8111  20.1425  21.4077
  05_pedestrian3              184  17.2391  11.7846  15.0976  25.4396  33.1001
  06_car                      945  13.9802  6.62393  15.1908  19.4416  26.4171
  07_motocross               2665  30.2437  4.33785  30.3001    51.69   78.013
  08_volkswagen              8576  118.044  89.1335  118.076  154.563  207.555
  09_carchase                9928  76.5737   41.582  75.7575  107.469  123.322
  10_panda                   3000  31.3814  13.4303  36.4632  43.4954  55.2543

BoofCV-Circulant
                              N       Mean      P05      P50      P95      MAX
  cliffbar                    328   1.0945   .76365  .792429   2.0032  12.8911
  coke11                      292  .788964  .759293  .786439  .831178  .872725
  david                       462  .784441  .758834  .768869  .840868  1.30395
  dollar                      327  .764418  .749451  .754249  .810335  .901691
  faceocc                     886  .777253  .757714  .763244  .811709  1.30063
  faceocc2                    812  .758654   .73178  .751551  .814783  1.07541
  girl                        502  .751607  .726278  .732832   .80812  1.16039
  surfer                      376  .749206  .734742  .736356    .7929   1.2217
  sylv                       1344  .757031  .734493   .74736  .795759  1.07561
  tiger1                      354  .748625  .733749  .736332  .791123  .842845
  tiger2                      365   .74635  .733812  .734854  .790517  1.05968
  twinings                    467  .748597   .73401  .735317  .793445  1.04247
  01_david                    761  .737498  .690369  .734454  .782145  .907221
  02_jumping                  313  .747575  .734524  .736516    .7818  .921754
  03_pedestrian1              140  .741493  .726923  .734885  .779173  .825026
  04_pedestrian2              338   .74082  .719224  .734593  .771715  .855636
  05_pedestrian3              184  .714722  .688067   .71209  .790082  .863085
  06_car                      945  .746212  .729851  .734994  .786091  .866948
  07_motocross               2665  .718805  .691458  .712563  .769021  .872694
  08_volkswagen              8576  .730904  .703634  .731587  .775828  1.16846
  09_carchase                9928  .713974  .691508  .709267  .755212  1.27832
  10_panda                   3000  .750446  .710516  .748836  .794895  .941648

BoofCV-Comaniciu
                              N       Mean      P05      P50      P95      MAX
  cliffbar                    328  .810522  .603718  .650135  1.25529  6.51276
  coke11                      292  .631732  .612714  .629508  .666678  .780665
  david                       462  .399232  .349498  .385516  .443912  1.17178
