# GENERATOR TextThresholdRegression
# Elapsed time in milliseconds

Summary:
                              N       Mean      P05      P50      P95      MAX
  Global_Mean                  10  2.23737  .842229  1.73054  4.06425  6.46486
  Global_Otsu                  10  2.11527  .758862  1.49717  3.32045  6.79784
  Global_Entropy               10  1.83041  .946587  1.58428  2.65771  3.96942
  Global_Li                    10  1.62856  .755657  1.45921  2.40608  3.16593
  Global_Huang                 10  3.19356   1.8747  2.94241  3.95428  6.61799
  Local_Mean                   10  12.1107  4.52817  6.48506  16.6676  53.6823
  Local_Gaussian               10  66.2993  27.5365  58.3142  111.652   131.41
  Local_Otsu                   10  1430.47  666.652   1583.3   1756.5   3110.1
  Local_Sauvola                10  14.0021  5.51349   9.9622  25.9733  37.7488
  Local_NICK                   10  14.1491   6.9229  12.2121  23.7255  25.4058
  Block_Min-Max                10   5.5881  .681823  1.79808  15.7268  16.0767
  Block_Mean                   10  3.40832  .824827  1.90814  10.5206   11.425
  Block_Otsu                   10    8.742  1.99636  4.49828  23.9365  28.8722
