# GENERATOR ObjectTrackingRegression
# Elapsed time in milliseconds

BoofCV-TLD
                              N       Mean      P05      P50      P95      MAX
  cliffbar                    328  35.8098  33.7098  35.4892  37.3499  105.943
  coke11                      292  25.2671  23.8423   24.881  27.7306  44.4747
  david                       462  36.7875  21.5799  39.5793  46.4846  65.4025
  dollar                      327  14.3763  8.91301   15.599  17.9141  24.0688
  faceocc                     886   37.077  28.1662  36.5352  48.5152  50.2496
  faceocc2                    812  34.8567  27.6063  35.5531  43.0244  61.7702
  girl                        502  25.1093  17.7069  23.6332  34.1545  42.2758
  surfer                      376   25.362  17.7485  25.8806  31.2523  35.3246
  sylv                       1344  22.9643  9.97581  22.3995  40.9972   42.316
  tiger1                      354  28.8912  22.6475  28.9629  34.5996  39.1668
  tiger2                      365  28.5955  22.4559  27.4678  35.3053  36.8172
  twinings                    467  32.8538  30.5492  32.5771  35.5189   59.627
  01_david                    761  72.2951  61.7237  73.8325  78.1935  118.187
  02_jumping                  313  54.4139  42.5457  55.5022   61.606  82.6837
  03_pedestrian1              140  23.2293  19.1273  23.4294  26.7843  33.9743
  04_pedestrian2              338  9.14191  .591817   10.519  14.2279  27.7585
  05_pedestrian3              184  11.1355  7.35703  10.0714  16.3603  17.9838
  06_car                      945  9.31763  4.12474  10.3215  13.1575   15.946
  07_motocross               2665  27.1256  3.56855   28.434  44.9435  65.7704
  08_volkswagen              8576  88.5368  67.0551  88.5927  116.669  135.819
  09_carchase                9928  60.6326  30.1223  61.8535  85.4673  93.9667
  10_panda                   3000  29.2529  10.6134  29.2823  44.1849  50.6652

BoofCV-Circulant
                              N       Mean      P05      P50      P95      MAX
  cliffbar                    328  .784881  .568308  .575527  1.44014  9.37251
  coke11                      292  .564639  .553417  .566762  .579024   .64394
  david                       462  .616097  .605472  .609125  .675826  .819451
  dollar                      327   .60349  .595202  .606175  .614995   .67052
  faceocc                     886  .609762  .605955  .608948  .613646  1.09846
  faceocc2                    812  .565884  .551947  .564275  .602758  .735966
  girl                        502  .609627  .595334  .607079  .642974  .927233
  surfer                      376  .598636   .59341  .595177  .627645   .64638
  sylv                       1344  .609868  .604514  .606927  .640057  .673438
  tiger1                      354  .602126  .592489  .595229  .629408  .749339
  tiger2                      365  .599682   .59413  .595075  .627756  .675798
  twinings                    467  .604061  .594224  .607443  .630003  .660828
  01_david                    761  .603244  .581507  .607037  .641258  .680102
  02_jumping                  313  .600628  .592497  .595098  .613146  .822324
  03_pedestrian1              140  .596363  .590958  .595791  .614671  .670315
  04_pedestrian2              338  .604122   .58996  .607132  .612073  .727113
  05_pedestrian3              184  .583899  .569982  .573021  .625579  .852752
