# GENERATOR TextThresholdRegression
# Elapsed time in milliseconds

Summary:
                              N       Mean      P05      P50      P95      MAX
  Global_Mean                  10  2.22004  .830719  1.72128  3.91892  6.51668
  Global_Otsu                  10   2.1296  .770499  1.50704   3.2468  6.87591
  Global_Entropy               10  1.84347   .92759  1.60659  2.63993  3.99013
  Global_Li                    10  1.64919  .759753  1.47898  2.45877  3.19026
  Global_Huang                 10  3.29454  1.87247  3.05896  3.93823  7.14418
  Local_Mean                   10  12.7353  4.59787  7.47534  15.9781  53.5879
  Local_Gaussian               10  66.1759  27.7153  58.1302  110.132   132.69
  Local_Otsu                   10  1427.07  664.878  1578.53  1753.52   3104.2
  Local_Sauvola                10  14.0492  5.44722  10.1697  26.0894  37.9884
  Local_NICK                   10  14.1598    6.923  12.2001  23.8555   25.388
  Block_Min-Max                10   5.2442  .900154  2.23984  15.6119  16.2955
  Block_Mean                   10  3.35208  .828391  1.90308  7.59911  10.8292
  Block_Otsu                   10  8.50003   1.7151  4.05294  27.2571  29.8017
