# GENERATOR ObjectTrackingRegression
# Elapsed time in milliseconds

BoofCV-TLD
                              N       Mean      P05      P50      P95      MAX
  cliffbar                    328   41.834  38.9886  41.5002  44.6134   114.48
  coke11                      292  31.6626  28.8442  31.1003  36.6853  52.5973
  david                       462   43.466  26.2336   46.762  55.0656  71.4356
  dollar                      327  16.6276   10.201  18.3472  20.7287  34.8227
  faceocc                     886  42.5189  33.1906  41.6985  54.7238  72.3535
  faceocc2                    812  40.0895   32.438  40.9431  48.5325  64.6186
  girl                        502  30.4566  21.3527  29.6867  40.3485  49.0224
  surfer                      376  30.0843  20.9216   30.676  37.3385  41.2486
  sylv                       1344  25.3395  11.2049  25.0044  41.9187  45.4457
  tiger1                      354  33.0394  24.7452  33.5044  39.4194   53.342
  tiger2                      365  33.3899  25.5964   33.699   39.837  43.1522
  twinings                    467  37.7623  35.1985  37.7167   40.538   69.264
  01_david                    761  84.6871  71.1666  85.6689  94.5534  134.911
  02_jumping                  313   61.998  49.4935  63.5504  69.9362  95.0298
  03_pedestrian1              140  27.2388  23.0849  26.5118   32.427  38.7078
  04_pedestrian2              338  10.8424  .642958  13.6726  16.5298  17.4219
  05_pedestrian3              184  14.0919  9.74171  12.3977  20.6733  21.4996
  06_car                      945  11.4579  5.35589  12.4309  16.0025  20.4522
  07_motocross               2665   24.722  3.29518  24.7906  42.7139  63.3897
  08_volkswagen              8576  97.5873  73.7977  97.6343  127.343  153.554
  09_carchase                9928  63.2316  33.8923   62.589  88.6895  114.125
  10_panda                   3000  25.7757  10.9252  29.9872  35.9081  41.9655

BoofCV-Circulant
                              N       Mean      P05      P50      P95      MAX
  cliffbar                    328   .81053  .581983  .589157  1.66536  8.83673
  coke11                      292  .578241  .569321  .572308  .605503  .946995
  david                       462   .62724  .612697  .614848  .700336  .877947
  dollar                      327  .613598  .600451   .61407  .639606  .657967
  faceocc                     886   .61722  .611633  .613913  .646414   1.0897
  faceocc2                    812  .620661  .608885  .612643  .656203  .710238
  girl                        502  .609377  .595363   .60141  .645258  .994182
  surfer                      376  .605851  .601628  .603398  .637915  .687338
  sylv                       1344  .613991  .601454  .606143  .650303  .706084
  tiger1                      354  .609878  .600854  .603224  .638196  .666326
  tiger2                      365  .610761  .600903  .613778  .636223   .75628
  twinings                    467  .619259  .613427  .615266  .649104  .683594
  01_david                    761  .606354  .573848  .614857   .64585  .804932
  02_jumping                  313  .617289    .6146  .615972  .647496  .696564
  03_pedestrian1              140  .612167  .596358    .6154  .637853  .652535
  04_pedestrian2              338  .602935  .591243  .601645   .63543   .66947
  05_pedestrian3              184  .576513  .557986  .562364  .614794  .655136
  06_car                      945  .620027  .599803  .614306  .636093  1.80881
  07_motocross               2665  .576015  .560122  .561819  .608392  .743836
  08_volkswagen              8576  .586103   .56156  .582136  .626024  .716762
  09_carchase                9928  .578662  .560651  .573776  .604805  1.36471
  10_panda                   3000  .610379  .561382  .614015  .620754  .681142

BoofCV-Comaniciu
                              N       Mean      P05      P50      P95      MAX
  cliffbar                    328  .618018  .484599  .517855  .795598  3.54317
  coke11                      292  .483632  .481807   .48251  .490384   .59055
  david                       462  .324171  .271567  .298406  .342203  2.11359
  dollar                      327    .4996  .498989  .500231  .509615  .555771
  faceocc                     886  .329206  .311776  .318863   .35792  .415402
  faceocc2                    812  .523605  .515663  .523529  .552371  .588615
  girl                        502  .543755  .515381  .525575  .617767  .675637
  surfer                      376  .521503  .508669  .514355  .547749  1.22022
  sylv                       1344   .31545  .311352  .311969  .344844  .396087
  tiger1                      354  .514214  .504492  .505506   .59759  .643895
  tiger2                      365   .50749  .504665  .505551  .537889  .614416
  twinings                    467  .509254  .505709  .506244  .540658  .571086
  01_david                    761  .389305  .034917  .559558  .587876  .646053
  02_jumping                  313  .510029  .505445  .510315  .514962  .559934
