# GENERATOR TextThresholdRegression
# Elapsed time in milliseconds

Summary:
                              N       Mean      P05      P50      P95      MAX
  Global_Mean                  10  3.57529  1.26285  2.52683  6.95194   10.776
  Global_Otsu                  10  3.49927  1.13639  2.39898  5.03464  12.8304
  Global_Entropy               10  3.06392  1.46502   2.8047  4.20701   6.1747
  Global_Li                    10  2.59224  1.13036   2.4843  3.89989  5.13017
  Global_Huang                 10  5.22705  2.66836  4.57673  7.23531   10.703
  Local_Mean                   10  22.2817  6.23617  10.8424  28.5345  104.518
  Local_Gaussian               10  85.7729   36.246  74.6938   149.01  172.302
  Local_Otsu                   10  1699.35  779.886  1857.37  2169.33   3709.4
  Local_Sauvola                10  24.9556   8.9678  19.9378  42.6953  63.6259
  Local_NICK                   10  23.0821  11.6588  20.6338  39.1587   39.321
  Block_Min-Max                10  7.72253  1.66879  3.36419  22.4243  25.2662
  Block_Mean                   10  5.39647  1.60902  3.15618  12.1708  17.0295
  Block_Otsu                   10  12.4163  3.07659  6.32642  38.0355  40.9873
