# GENERATOR ObjectTrackingRegression
# Elapsed time in milliseconds

BoofCV-TLD
                              N       Mean      P05      P50      P95      MAX
  cliffbar                    328  53.2112  49.7624  52.3076  57.5778  172.081
  coke11                      292  43.7649  37.2129  41.9913  51.6367  62.0741
  david                       462   53.844  31.8157  58.0576  68.5656  73.2846
  dollar                      327  20.9237  13.2137  22.5691  25.8092  26.9773
  faceocc                     886  53.2995  41.5671  52.0375  67.5292  69.9183
  faceocc2                    812  51.6119  40.8563  52.6694  63.2615  83.0967
  girl                        502  33.9604  25.3144  33.4219  41.8831  61.5138
  surfer                      376  37.3296  26.5294  37.5046  46.2826  51.2409
  sylv                       1344  33.1882  14.6868  33.7844  54.2364  59.5095
  tiger1                      354  41.5419  34.6995  41.9415  46.7834  56.6197
  tiger2                      365   39.645  32.4504  40.7646   44.899  52.5017
  twinings                    467  48.2612   44.477  48.1042  51.7599  86.4037
  01_david                    761  103.856  88.7149   105.12  115.991  175.911
  02_jumping                  313  72.1315  59.5368   74.003  81.3813  114.894
  03_pedestrian1              140  31.3955  26.5526  31.4573  36.2486  47.5714
  04_pedestrian2              338   12.813  .915201  15.3227  19.8317   27.727
  05_pedestrian3              184  15.8268  10.6898  14.5035  22.7113  24.9449
  06_car                      945  13.6755  6.71588  14.8138  19.6634    22.38
  07_motocross               2665  44.3937   6.5151  46.6686  74.5312  105.625
  08_volkswagen              8576  120.861  90.9415  121.064  159.143  189.538
  09_carchase                9928  71.3865  41.3656   71.755  96.5293   102.76
  10_panda                   3000  37.1282  15.3975  36.4549  54.0665  58.6742

BoofCV-Circulant
                              N       Mean      P05      P50      P95      MAX
  cliffbar                    328  1.39204  .806031  .822859  2.61973  30.7674
  coke11                      292  .813378  .801597  .804679  .826121  1.41874
  david                       462  .864395  .838699  .840405  1.01176  1.42529
  dollar                      327    .8494  .842237  .844379  .852786  1.43929
  faceocc                     886   .85227   .83779  .840503  .857318  2.67957
  faceocc2                    812  .866248  .849662  .857181  .918978   1.4331
  girl                        502  .860908  .833595  .838925  .999101  1.74871
  surfer                      376  .863663  .855911  .862624  .873778  1.37183
  sylv                       1344   .84614  .835226  .836707  .847416  1.46312
  tiger1                      354  .849052  .837792  .841731  .853001  1.37526
  tiger2                      365  .845471  .839252  .841555  .848759  1.33087
  twinings                    467  .846543  .839545  .841928   .85167  1.35683
  01_david                    761  .831267  .803873  .838206  .847754  1.14639
  02_jumping                  313  .843834  .838189  .843829  .851601  1.05099
  03_pedestrian1              140   .82971  .820038   .83278  .848527  .907901
  04_pedestrian2              338  .840373  .833546  .839005  .850374  1.06315
  05_pedestrian3              184  .832947  .806799  .814208   .86095  1.40071
  06_car                      945  .835112  .826131  .835768  .846823  1.01676
  07_motocross               2665  .837097  .817896  .831898  .862265  .938343
  08_volkswagen              8576  .816616  .803689  .806654   .83841  1.41542
  09_carchase                9928  .806589  .801387  .803074   .81617  1.37814
  10_panda                   3000  .837499  .822819  .837104  .846664  1.03722

BoofCV-Comaniciu
                              N       Mean      P05      P50      P95      MAX
  cliffbar                    328  .976175  .656558  .701337  2.17809  8.16439
  coke11                      292  .678373  .666436  .675688  .683827  1.32174
  david                       462  .423526  .369475  .407259  .471296  1.31835
  dollar                      327  .649483  .614335  .621686  .686927  1.25194
  faceocc                     886  .419439  .382234  .388124  .464121  .868422
  faceocc2                    812  .653841  .639942   .64864  .664559  1.33652
  girl                        502  .664449  .622093  .651922  .727744  1.33459
  surfer                      376    .6506  .635244  .644686  .673943  1.31738
  sylv                       1344   .39159  .382765  .383443  .392677  .799271
  tiger1                      354  .649977  .630095  .639361  .700342  1.29973
  tiger2                      365  .642187  .630039  .638315  .647036  1.30067
  twinings                    467  .644989  .632851  .641655  .656408    1.287
  01_david                    761  .529205  .046067  .777364  .791417  .797714
  02_jumping                  313  .671493  .665089  .672859  .681732  .905252
  03_pedestrian1              140  .669214  .665778  .673617  .684545   .69725
  04_pedestrian2              338  .646465  .613152  .664201   .72471  .870757
  05_pedestrian3              184  .570111  .221631  .618228  .641197  .716807
  06_car                      945  .630833  .612091  .617617  .706097  .847821
  07_motocross               2665  .776576  .709643  .711602  1.19532   1.4887
  08_volkswagen              8576  .486536  .039565  .570032  .654446  1.02047
  09_carchase                9928  1.16655  1.07445  1.18952  1.19913  1.77888
  10_panda                   3000  1.07637  1.07364  1.07457  1.08451  1.61284

BoofCV-SparseFlow
                              N       Mean      P05      P50      P95      MAX
  cliffbar                     77  6.25186  4.38575  5.26428  10.3775  29.8295
  coke11                      254  5.35886  4.42666  5.10633  6.92861  8.18959
  david                       156  5.29527  4.75003  5.25042   5.9515  8.00023
  dollar                      327  4.39009  3.21542  4.38583  5.66495  6.76264
  faceocc                     614  5.04168  4.00371  4.97745  6.21138  7.26978
  faceocc2                    369  4.73659  4.10639  4.74006  5.49025  6.35533
  girl                         14  7.30465  .539629  7.90192  8.31535  10.8342
  surfer                       19    6.762   1.7614  7.12319  8.78856  10.2668
  sylv                        554  4.79368  4.07775  4.79511  5.45432  8.17335
  tiger1                        9   5.1428   .53237  5.55414  6.14169  6.30696
  tiger2                       32  5.59012  4.27737  5.83574  6.55957  6.81447
  twinings                    187  4.16805  3.25853  4.17811  5.13958  6.40458
  01_david                      3  5.11735  .554047  6.94608  6.94608  7.85191
  02_jumping                   15  4.93159  .877181    5.111  6.06665  6.19097
  03_pedestrian1               10    5.785  .715315  6.09199  7.26673  7.74493
  04_pedestrian2               13  5.31573  .538772  5.56716  6.15218  6.37257
  05_pedestrian3               24  5.10308  4.85485  5.12069  5.74168  6.13436
  06_car                      206  5.06305  4.01158  5.00865  6.18566  7.82509
  07_motocross                  2  4.67592  1.50787  1.50787  1.50787  7.84396
  08_volkswagen               157  6.60768  5.99964  6.62661  7.23401  7.66278
  09_carchase                  67   4.7923  4.12539  4.65488  6.36412  6.71363
  10_panda                    188  4.12239  2.92438  4.53888  5.30503  6.18308

Summary:
                              N       Mean      P05      P50      P95      MAX
  BoofCV-TLD                33365  71.3197  16.3708  66.5055  137.155  189.538
  BoofCV-Circulant          33365  .830876  .801982  .819499  .856455  30.7674
  BoofCV-Comaniciu          33365  .790585  .131886  .679895  1.19623  8.16439
  BoofCV-SparseFlow          3297  4.96305  3.35381  4.88598  6.65729  29.8295
