# GENERATOR TextThresholdRegression
# Elapsed time in milliseconds

Summary:
                              N       Mean      P05      P50      P95      MAX
  Global_Mean                  10  3.57563  1.27037  2.53236  6.18293  11.9056
  Global_Otsu                  10  3.73096  1.14641   2.4564  6.66181   12.846
  Global_Entropy               10  3.08806  1.42298  2.63771  4.93497  6.15695
  Global_Li                    10   3.0524  1.20215   2.4292  6.56149   7.1548
  Global_Huang                 10   5.5572   3.0261  4.62835   7.4844  10.4633
  Local_Mean                   10  22.0025  6.62946  9.36986  28.8638  102.979
  Local_Gaussian               10  93.4637  37.3399  78.4529  182.807  187.951
  Local_Otsu                   10  1698.39   778.78  1855.31  2168.03  3707.29
  Local_Sauvola                10   24.558  10.2847  19.4285  42.0976  61.8685
  Local_NICK                   10  23.2053  11.6422  20.7485  39.6196  39.6586
  Block_Min-Max                10   7.6643  1.67046  3.34423  22.0058  25.3993
  Block_Mean                   10  5.49771   1.6303  3.16536  11.3155  18.7838
  Block_Otsu                   10  13.8834  2.95897  6.46103  42.4661  51.4426
