# GENERATOR ObjectTrackingRegression
# Elapsed time in milliseconds

BoofCV-TLD
                              N       Mean      P05      P50      P95      MAX
  cliffbar                    328  64.8445  60.2944  64.1994  69.4403  190.506
  coke11                      292  48.4744  44.4403  47.8612  55.3934  74.9811
  david                       462  67.1083  40.4465  72.3703  84.4593  88.7214
  dollar                      327  25.2261  15.7756  27.7499  31.3401  32.8944
  faceocc                     886  64.3111  51.2452  63.0713  81.5148  87.0435
  faceocc2                    812  61.2821  50.6285  62.0151  73.0945  85.4986
  girl                        502  45.8041  32.3327  44.7845  60.4897  73.8012
  surfer                      376  46.4765  31.9639  47.3626  57.7284  63.9259
  sylv                       1344  36.5828  17.0129  36.1423  58.8195  64.2755
  tiger1                      354  50.2058  38.6365  51.0237  58.8607  70.5365
  tiger2                      365  50.3699  39.5797  50.9437   59.387  65.6193
  twinings                    467  58.7864  54.7409  58.9685  63.0911   104.48
  01_david                    761  128.598  111.147  124.767  145.923  205.521
  02_jumping                  313  82.0064  64.8823  84.0316  92.3747  129.644
  03_pedestrian1              140  36.6156  31.1482  35.6664  43.6799  53.1248
  04_pedestrian2              338   15.088  .981459  18.9382  23.0606  24.0669
  05_pedestrian3              184  19.3575  13.4875  17.2544  28.1981  28.7798
  06_car                      945  16.0722  7.55223  17.4146  22.1825  28.6923
  07_motocross               2665  34.2928  4.97106  34.3969  57.7469  84.8937
  08_volkswagen              8576  130.127  98.7683  130.516  169.626  203.892
  09_carchase                9928  86.1568  45.7277  86.1823  120.523  138.252
  10_panda                   3000  36.1204  15.6423  42.0372   49.872  56.9645

BoofCV-Circulant
                              N       Mean      P05      P50      P95      MAX
  cliffbar                    328  1.43928  .838722  .857578   2.9475  28.0561
  coke11                      292  .841069  .831841  .836166  .850072  1.47731
  david                       462  .858811  .837165   .83989  .971374  1.38416
  dollar                      327  .847272   .83874  .843787  .851476  1.34134
  faceocc                     886  .845795  .834973  .838489  .848481  1.55817
  faceocc2                    812  .855547  .837676  .842821  .898507  1.72958
  girl                        502  .853874  .831031   .83845  .929637  1.61219
  surfer                      376  .859014   .85185  .855167  .864258  1.32003
  sylv                       1344  .847345  .835062  .836404  .849294  1.44059
  tiger1                      354  .847196  .838942  .841749  .852331  1.37082
  tiger2                      365  .846075  .838705   .84174  .850234  1.38901
  twinings                    467  .846066   .83888  .841196  .848959  1.38024
  01_david                    761  .826895  .784514  .837271  .846742  1.37382
  02_jumping                  313  .842283  .839123  .842008  .850366  .981476
  03_pedestrian1              140  .854295  .828855   .83817  .876765  1.34008
  04_pedestrian2              338  .835175   .82075  .837118  .848417  1.10254
  05_pedestrian3              184  .814943  .781492   .78904  .850297  1.36092
  06_car                      945  .838217  .827113  .837993  .848126  1.01323
  07_motocross               2665  .819822  .798391  .805504  .857074  1.42898
  08_volkswagen              8576  .799431  .780241  .786034  .834087  1.32588
  09_carchase                9928  .788793  .780877   .78321  .833698  1.61394
  10_panda                   3000  .836487  .784736  .835888  .845307  1.36065

BoofCV-Comaniciu
                              N       Mean      P05      P50      P95      MAX
  cliffbar                    328  1.43566  1.05143  1.05645  2.16414  23.1021
  coke11                      292  1.05437  1.04928  1.05095  1.05994  1.66407
  david                       462  .496467  .412788   .48754  .518429  1.43186
  dollar                      327  1.05242  1.04993  1.05092  1.05888  1.55928
  faceocc                     886  .500926  .481471  .487901   .52339  .990447
  faceocc2                    812  1.06121  1.05012  1.05093  1.06064  1.78513
  girl                        502  1.05116  .963019  1.05076  1.13027  1.84369
  surfer                      376  1.05761  1.05158  1.05461  1.06002  1.70926
  sylv                       1344  .491685  .477218  .477995  .485683  1.00507
  tiger1                      354  1.06677  1.04944  1.05081  1.10253  1.66223
  tiger2                      365  1.05494  1.04929   1.0502  1.05555  1.76572
  twinings                    467  1.05404  1.04996  1.05059  1.05827  1.68805
  01_david                    761  .802496   .07103  1.17485  1.18323  1.35205
  02_jumping                  313  1.05039  1.04909   1.0513  1.05909  1.20252
  03_pedestrian1              140  1.04797   1.0502  1.05303  1.05973  1.12385
  04_pedestrian2              338  1.05457  1.04495  1.05281   1.1625   1.2068
  05_pedestrian3              184  .960224  .357318  1.05112  1.06441  1.15318
  06_car                      945   1.0525  .991384  1.05026  1.12712  1.21911
  07_motocross               2665  1.17912  1.17612  1.17881  1.18487  1.86795
  08_volkswagen              8576  .465047  .037935  .555327  .603115  1.00872
  09_carchase                9928   1.1528  1.05116  1.17618  1.18384  1.37601
  10_panda                   3000  1.05286   1.0492  1.05105  1.06024  1.46816

BoofCV-MeanShiftHist
                              N       Mean      P05      P50      P95      MAX
  cliffbar                    328  .144525  .036084  .051219  .169169  11.6227
  coke11                      292   .01894  .015769  .016027  .028677  .342363
  david                       462  .036373  3.87E-04  4.82E-04  .163943  1.06215
  dollar                      327  .121982  .085454  .086288  .251991  1.74744
  faceocc                     886  .184281  .113954  .114751  .403287  4.36737
  faceocc2                    812  .168489  .146779  .147451  .234094  1.28024
  girl                        502  .300771  .182008  .275161  .563485  2.23197
  surfer                      376  .033646  .019188  .025471   .06046  .352873
  sylv                       1344  .021622  .019397  .019531  .031089   .23169
  tiger1                      354   .03172  .024013  .024397  .063788  .164405
  tiger2                      365  .023173   .02075  .021085  .028858  .176772
  twinings                    467  .066456  .056264  .056736  .087377  .530433
  01_david                    761  .021437  1.58E-04  2.78E-04  .051524  .238728
  02_jumping                  313  .046288  .016819  .040417  .093852   .15017
  03_pedestrian1              140  .027078   .01246  .021992  .056644   .10385
  04_pedestrian2              338  .025062  .017974  .018247  .051918  .116789
  05_pedestrian3              184  .017595  1.55E-04  .019264  .046996  .170329
  06_car                      945  .077077  .050469  .051199  .164006  .429714
  07_motocross               2665  3.22E-04  1.60E-04  2.38E-04  5.07E-04  .068275
  08_volkswagen              8576  4.72E-04  1.22E-04  1.53E-04  2.50E-04  .076855
  09_carchase                9928  1.87E-03  1.48E-04  1.72E-04  3.37E-04  .240504
  10_panda                   3000  .010784  9.83E-03  9.93E-03   .01551   .05723

BoofCV-SparseFlow
                              N       Mean      P05      P50      P95      MAX
  cliffbar                    328  2.55713  7.35E-04  1.02E-03  12.7182  38.6496
  coke11                      292  .227319  4.65E-04  5.63E-04  9.61E-04   10.405
  david                       462   7.1046  4.16E-04  9.76938  13.9036  17.6777
  dollar                      327  6.93415  3.77022  6.30412  11.6093  12.8254
  faceocc                     886  5.72122  4.27E-04  6.61583  11.7616  16.0617
  faceocc2                    812  3.52136  4.76E-04  6.98E-04   9.5338  14.7923
  girl                        502  1.60921  4.59E-04  5.52E-04  17.7118  23.7942
  surfer                      376  .413458  5.58E-04  7.30E-04  1.15E-03  16.2239
  sylv                       1344  3.66252  4.58E-04  5.75E-04  10.4939  13.8054
  tiger1                      354  .443826  3.90E-04  4.97E-04  1.07E-03  14.5177
  tiger2                      365  1.44542  4.17E-04  6.21E-04  13.3833   18.425
  twinings                    467  2.51335  4.19E-04  5.72E-04  8.56861  13.0077
  01_david                    761   .03929  1.77E-04  1.98E-04  3.50E-04  15.8377
  02_jumping                  313  .499822  1.84E-04  2.14E-04  7.86E-04  12.8656
  03_pedestrian1              140  4.49865  1.79E-04  2.10E-04  17.2449  20.2116
  04_pedestrian2              338  .425803  1.83E-04  2.05E-04  3.71E-04  15.4051
  05_pedestrian3              184  3.25121  1.91E-04  2.54E-04   12.367  14.7415
  06_car                      945  2.05178  1.96E-04  4.94E-04  10.9678  14.9518
  07_motocross               2665  .078791  1.25E-04  1.98E-04  4.05E-04  24.8415
  08_volkswagen              8576  2.02E-03  8.00E-05  1.04E-04  1.54E-04  14.7039
  09_carchase                9928  7.04E-03  9.00E-05  1.14E-04  2.06E-04  15.0022
  10_panda                   3000   .15002  8.80E-05  1.15E-04  2.15E-04  12.7332

Summary:
                              N       Mean      P05      P50      P95      MAX
  BoofCV-TLD                33365   79.672  18.4354  76.5545   148.03  205.521
  BoofCV-Circulant          33365  .819664  .780745  .806049  .850485  28.0561
  BoofCV-Comaniciu          33365   .89456  .119775  1.05125  1.18291  23.1021
  BoofCV-MeanShiftHist      33365  .024818  1.31E-04  2.08E-04  .147042  11.6227
  BoofCV-SparseFlow         33365  .790406  8.60E-05  1.23E-04  8.41886  38.6496
