# GENERATOR ECoCheckDetectionRegression
# Elapsed time in milliseconds

default
                              N       Mean      P05      P50      P95      MAX
  9x7n1/axis_blur_0            20  49.8579   43.424  49.0164  56.3273  56.7799
  9x7n1/axis_blur_1            20  48.1557  42.8446  47.8448  53.0523  57.5065
  9x7n1/axis_blur_2            20  46.4511   42.756  46.9456   47.872  48.0993
  9x7n1/axis_blur_3            20   45.537  42.8373  45.8833  46.6478   46.729
  9x7n1/axis_blur_4            20  45.3193  42.2187  45.3275  46.7846  46.9155
  9x7n1/fade                   12  62.0504  45.8346  46.1923  111.865  128.342
  9x7n1/fisheye_blur_0         30  47.2932   46.469  46.8071  47.7585  58.4708
  9x7n1/fisheye_blur_1         30  47.3274  46.6136  47.1223   47.736  54.1413
  9x7n1/fisheye_blur_2         30  46.9298  46.2236   46.576  48.4117   52.566
  9x7n1/fisheye_blur_3         30  45.6474  45.2967  45.5512  46.1633  46.1994
  9x7n1/fisheye_blur_4         30  44.3894  44.1146  44.3308  44.8101  44.9972
  9x7n1/fisheye_extreme        30  47.7674  47.4012   47.796  48.0322  48.1313
  9x7n1/linear_blur            42  45.0852  43.9786  44.8026   46.294  54.3742
  9x7n1/move_away              40  44.0819  41.9474  43.0389  47.1486  56.6182
  9x7n1/rotate_z               40  46.2403  45.5606   46.116  46.5314  52.6019
  9x7n1/shadows                30  44.9344  44.5814  44.9362  45.2132  45.3195
  9x7n1/spotlight              30  44.3788  43.7992  44.3764  44.9094  45.0708
  9x7n1e0/axis_blur_0          20  43.6688  42.0683  43.7671  44.2149   44.217
  9x7n1e0/axis_blur_1          20  43.9159   42.262  44.1963  44.4555  44.5746
  9x7n1e0/axis_blur_2          20  44.0686  42.1119   44.395   44.714  44.7146
  9x7n1e0/axis_blur_3          20  43.9515   42.069  44.1137  44.6134  44.7113
  9x7n1e0/axis_blur_4          20  43.6266  41.5811  43.8388  44.1664  44.4068
  9x7n1e0/fade                 12  57.3954  43.6843  44.1493  98.2558  121.632
  9x7n1e0/fisheye_blur_0       30  44.9971  44.4044  44.6148  47.0695  50.5244
  9x7n1e0/fisheye_blur_1       30   44.901  44.6944  44.8953  45.0351  45.7014
  9x7n1e0/fisheye_blur_2       30  45.1436  44.7654  45.1075  45.3148  46.8952
  9x7n1e0/fisheye_blur_3       30  44.5802  44.2917  44.5425  44.9476  45.4024
  9x7n1e0/fisheye_blur_4       30  44.8061  44.3779  44.6539  45.8908   46.874
  9x7n1e0/fisheye_extreme      30  45.8801  45.5556  45.8999  46.0925  46.2352
  9x7n1e0/linear_blur          42  43.8138  43.3627  43.8097  44.2021   44.336
  9x7n1e0/move_away            40  42.7115  41.8076  42.2394  44.7797   46.113
  9x7n1e0/rotate_z             40  44.3695  43.4487   44.192   45.512  47.1257
  9x7n1e0/shadows              30  43.7924  43.4058  43.7571  44.2088  44.2271
  9x7n1e0/spotlight            30  43.7827  43.2604  43.7107  44.2063  44.6457

Summary:
                              N       Mean      P05      P50      P95      MAX
  summary                     948  45.5177  42.4979   44.761  48.0322  128.342
