# GENERATOR ECoCheckDetectionRegression
# Elapsed time in milliseconds

default
                              N       Mean      P05      P50      P95      MAX
  9x7n1/axis_blur_0            20  45.3125   42.466  45.7994  46.2524  46.4735
  9x7n1/axis_blur_1            20  45.1905   42.395  45.7718  46.1414  46.1733
  9x7n1/axis_blur_2            20  45.1152   42.326  45.4843  46.3725  46.4664
  9x7n1/axis_blur_3            20  44.8614  42.3138  44.9181  45.7463  50.2748
  9x7n1/axis_blur_4            20  44.2095  41.9673  44.3276  45.2136  46.8091
  9x7n1/fade                   12  58.9615  45.2588  45.4811  100.306  124.883
  9x7n1/fisheye_blur_0         30  46.7674  45.6815  46.0699  46.5491  66.2449
  9x7n1/fisheye_blur_1         30  46.5898  46.1887  46.5434  46.8846  47.3341
  9x7n1/fisheye_blur_2         30  46.3771  45.9954  46.3738  46.7202  47.0202
  9x7n1/fisheye_blur_3         30  45.7776   45.363  45.6861  46.2535  46.4507
  9x7n1/fisheye_blur_4         30  44.8613  44.3793  44.6472  45.1154  48.8023
  9x7n1/fisheye_extreme        30  47.9841  47.6392  47.8509  48.2091  49.8158
  9x7n1/linear_blur            42  43.5825  42.6719  43.3061  44.1453   51.748
  9x7n1/move_away              40  41.7516  40.3662  41.1751  44.5493  45.6124
  9x7n1/rotate_z               40  43.5847  42.9444  43.5177  44.2268  45.7079
  9x7n1/shadows                30  43.2732  42.0121  42.7917  45.3844  49.3303
  9x7n1/spotlight              30  42.1816  41.2292  41.9441  42.8222  48.6177
  9x7n1e0/axis_blur_0          20   41.889  40.5507  41.9804  42.3077   42.318
  9x7n1e0/axis_blur_1          20  42.2276  40.6834  42.4753   42.665  42.6821
  9x7n1e0/axis_blur_2          20  42.5261  40.6625  42.6999  43.0231  43.0376
  9x7n1e0/axis_blur_3          20  42.3518  40.4958   42.501  43.0564  43.1326
  9x7n1e0/axis_blur_4          20   42.056  40.2092  42.2236  42.5312  42.6044
  9x7n1e0/fade                 12  55.6842  41.9508  42.3927  95.9095  119.048
  9x7n1e0/fisheye_blur_0       30  43.6311  42.8817  43.1078  43.3829  59.1922
  9x7n1e0/fisheye_blur_1       30  43.4277  43.2149  43.4168   43.641  43.8486
  9x7n1e0/fisheye_blur_2       30  43.7164   43.407  43.6142  44.1687  44.2632
  9x7n1e0/fisheye_blur_3       30   43.577  43.1419  43.5477  43.8866  45.3056
  9x7n1e0/fisheye_blur_4       30  43.0597  42.8948  42.9975  43.2796  43.6429
  9x7n1e0/fisheye_extreme      30  44.1483  43.8624  44.1408  44.3762  44.3907
  9x7n1e0/linear_blur          42  42.5862  42.0153  42.6052   42.919  43.4271
  9x7n1e0/move_away            40  41.2764  39.4413  40.8098   43.532  47.9399
  9x7n1e0/rotate_z             40  41.6372  40.8201  41.5127  42.8171  43.1308
  9x7n1e0/shadows              30  41.2003  40.5084  41.1158  41.8693  42.5955
  9x7n1e0/spotlight            30  40.8085  40.2069  40.7289  41.4751  41.8103

Summary:
                              N       Mean      P05      P50      P95      MAX
  summary                     948  43.9463  40.6754  43.2756  47.0202  124.883
