# GENERATOR ECoCheckDetectionRegression
# Elapsed time in milliseconds

default
                              N       Mean      P05      P50      P95      MAX
  9x7n1/axis_blur_0            20  39.7931  33.8988  39.4658  45.6705  46.2166
  9x7n1/axis_blur_1            20  39.2051  33.8442  38.2062  42.2582  44.8031
  9x7n1/axis_blur_2            20  38.0958  33.6297  37.5723  41.2877  44.7744
  9x7n1/axis_blur_3            20   36.152  33.7333  36.4238  37.1823    37.83
  9x7n1/axis_blur_4            20  35.3667  33.0916  35.2528  36.3432  36.5426
  9x7n1/fade                   12  49.6092  36.2632  36.9257  86.2764  106.736
  9x7n1/fisheye_blur_0         30  37.9399  36.4176  36.9292  38.5808  61.7451
  9x7n1/fisheye_blur_1         30  37.0802  36.6983  37.0145  37.5588  37.7711
  9x7n1/fisheye_blur_2         30  37.0654  36.5087   37.041  37.6065  37.7093
  9x7n1/fisheye_blur_3         30  36.5211    36.05  36.4448  36.9909  37.5385
  9x7n1/fisheye_blur_4         30  35.6546  35.2771  35.6538  36.0172  36.1931
  9x7n1/fisheye_extreme        30  38.3666  38.1164  38.2918  38.7693  38.8716
  9x7n1/linear_blur            42  36.0764  35.1674  35.9075  36.9962  39.3486
  9x7n1/move_away              40  34.8778  33.1461   33.823  39.6436  46.0009
  9x7n1/rotate_z               40  36.9287  36.2714  36.6613  37.6226  42.7596
  9x7n1/shadows                30  36.0438  35.4889   35.869  36.4745  39.4158
  9x7n1/spotlight              30   35.307  34.9774  35.2738  35.6499  35.9762
  9x7n1e0/axis_blur_0          20   34.801  33.2746  34.7725  35.7933  35.7962
  9x7n1e0/axis_blur_1          20  35.1816  33.2321  35.1463  36.1262  37.5406
  9x7n1e0/axis_blur_2          20  35.0972  33.4087  35.3266   35.835   35.884
  9x7n1e0/axis_blur_3          20   35.143  33.2226  35.2566  35.6874  38.9328
  9x7n1e0/axis_blur_4          20  34.7751  32.8318  34.9401   35.184  35.8542
  9x7n1e0/fade                 12  48.6733  34.5948  35.0394  87.9492  110.941
  9x7n1e0/fisheye_blur_0       30  36.5191   35.231  35.5453  36.3812   61.167
  9x7n1e0/fisheye_blur_1       30  35.9612  35.6697  35.9036  36.3298   36.407
  9x7n1e0/fisheye_blur_2       30  36.0544  35.7334   35.984  36.4712  36.8242
  9x7n1e0/fisheye_blur_3       30  36.2433  35.3293  35.6496  38.2649  42.9318
  9x7n1e0/fisheye_blur_4       30  35.5897  35.2794  35.5248  36.0324  36.1824
  9x7n1e0/fisheye_extreme      30  36.7839  36.3521  36.7061  37.1279  39.0977
  9x7n1e0/linear_blur          42  35.0931  34.6053  35.0178  35.5904   36.234
  9x7n1e0/move_away            40  34.2407  33.2127  33.8105  36.5531  36.9927
  9x7n1e0/rotate_z             40  35.5464  34.6231  35.2672  36.9948  39.7887
  9x7n1e0/shadows              30   34.967  34.6898  34.9112  35.2997  35.5329
  9x7n1e0/spotlight            30  34.5583  34.1725  34.5094  34.9244  35.1772

Summary:
                              N       Mean      P05      P50      P95      MAX
  summary                     948  36.4179  33.7325  35.7962  38.9328  110.941
