# GENERATOR DisparityDistanceRegression
# Elapsed time in milliseconds

Summary:
                              N       Mean      P05      P50      P95      MAX
  BM5_SAD                     200   22.735  21.5034  21.8227   25.829  79.4478
  BM5_CENSUS                  200  21.3616  18.9764  19.9663    24.59  118.719
  BM5_NCC                     200  31.0546  28.2276  29.4317  35.7197  132.486
  BM5_SSD                     200   22.378  21.4498  21.7188  24.4005  75.1286
  BM5_ZSSD                    200  24.3998  22.9474  23.4153  28.2581   48.786
  BM_SAD                      200  7.68052  6.66355  6.95479  11.0232  20.4785
  BM_CENSUS                   200  12.0201  11.6863   11.842  12.5377  20.2577
  BM_NCC                      200  14.5227  12.3094  13.1839  20.1309  40.6038
  BM_SSD                      200  7.61347  6.63923  6.92973  10.8018  17.4258
  BM_ZSSD                     200    9.746  8.41641  8.82263  14.0067  20.2207
