# GENERATOR DisparityRegression
# Elapsed time in milliseconds

Summary:
                              N       Mean      P05      P50      P95      MAX
  BM5_SAD                      15  335.633  93.0792  354.612  403.628  409.307
  BM5_CENSUS                   15  316.411  88.7889  338.309  371.618  372.056
  BM5_NCC                      15  465.282  137.718  495.705  546.509  547.114
  BM5_SSD                      15  322.323  89.8863  347.137  379.966  393.967
  BM5_ZSSD                     15  378.166  105.627   405.44  443.024  448.708
  BM_SAD                       15   138.17  36.1713  148.233  170.293  170.439
  BM_CENSUS                    15  135.804  38.0996  143.801  160.522  161.462
  BM_NCC                       15  204.351  57.6189  218.729  242.719  248.616
  BM_SSD                       15  125.827  33.2392  134.588   155.43  155.798
  BM_ZSSD                      15  152.903  41.7871  164.055  183.608   184.16
