# GENERATOR TextThresholdRegression
# Elapsed time in milliseconds

Summary:
                              N       Mean      P05      P50      P95      MAX
  Global_Mean                  10  2.56335  .955781   2.1216  5.09627  5.58106
  Global_Otsu                  10  2.54512    1.058  1.98281  4.36494  6.58994
  Global_Entropy               10  2.49213  1.12301  2.28168  3.82683    5.775
  Global_Li                    10  2.30767  .924311  1.97015   3.5134  4.83286
  Global_Huang                 10  3.88262  1.70149  3.39462  5.37413  10.5169
  Local_Mean                   10  12.3683  4.84203  7.07852  17.3046  45.0736
  Local_Gaussian               10  46.2424  20.1529  39.9269  82.4691  85.9955
  Local_Otsu                   10   398.54  181.938  432.674  508.106  868.306
  Local_Sauvola                10  11.5613  4.37906  7.23478  25.0759  32.0246
  Local_NICK                   10  12.1278  6.05685  9.08745  20.0731   20.738
  Block_Min-Max                10    5.592  .731809  2.29444  15.5237  17.8671
  Block_Mean                   10   3.6794  .690421  2.39029  9.86936  12.4774
  Block_Otsu                   10   6.9777  1.39722  3.35363  17.4967  26.7583
