# GENERATOR ObjectTrackingRegression
# Elapsed time in milliseconds

BoofCV-TLD
                              N       Mean      P05      P50      P95      MAX
  cliffbar                    328  21.5314  20.0422  21.1842  23.0705  84.0514
  coke11                      292   18.607  14.8179   18.176  22.8625   27.377
  david                       462   21.854   12.306  23.6273  28.1486  29.4056
  dollar                      327  8.68568  5.43659  9.45656  10.8481  11.6731
  faceocc                     886  23.1572  16.5651  23.3732  30.7758  33.6704
  faceocc2                    812  21.9567  16.0942  22.4421  28.3058  37.0416
  girl                        502  14.1985  10.7374  13.9717  17.7805  25.3101
  surfer                      376  15.1048  10.6558  15.2258  18.6892   21.952
  sylv                       1344  16.5135  6.10249  16.3831  29.0069  30.7154
  tiger1                      354  17.7663  14.2161  18.0466  20.5027  23.1992
  tiger2                      365  17.2452   12.968  17.9381  20.3834  23.2283
  twinings                    467  19.2739  17.7725  19.0361  21.1891  35.5855
  01_david                    761   43.884  34.9735  43.5187  52.0565  71.3146
  02_jumping                  313  31.6041  25.0823  32.3119  36.2854   49.884
  03_pedestrian1              140  14.0708  11.3423  14.0049  16.6122  21.1848
  04_pedestrian2              338  5.67471  .398631   6.5795  9.12727   9.3674
  05_pedestrian3              184  6.58912  4.47458  5.93192  9.64773  10.5096
  06_car                      945  6.15592   2.9782   6.5508  9.19227  10.3909
  07_motocross               2665  22.6706  3.10842  24.1994  38.6717  51.4449
  08_volkswagen              8576  56.5213  40.1538  56.1533  77.6009   98.181
  09_carchase                9928  35.9788  18.4014  36.1831   49.368  57.4385
  10_panda                   3000  19.3522  7.13841   19.237  29.1859  32.0352

BoofCV-Circulant
                              N       Mean      P05      P50      P95      MAX
  cliffbar                    328  .642061  .405695  .416134  1.37726  10.4796
  coke11                      292  .407383  .400194  .405454  .415272  .512827
  david                       462  .421257  .404442  .413539  .497017  .613496
  dollar                      327  .407075  .400285  .406826  .416014  .442755
  faceocc                     886   .41151  .401025  .407307  .417396    1.001
  faceocc2                    812  .412047  .396517  .404361  .457141  1.04781
  girl                        502  .409086  .395906  .400935  .461059   .97135
  surfer                      376  .401233  .394524  .399613  .407888  .704236
  sylv                       1344  .404578  .395525  .400123  .416024  .666155
  tiger1                      354  .401786  .390646  .398451  .417637   .55212
  tiger2                      365  .397271  .390987  .396577  .406846  .434629
  twinings                    467   .39974  .391868  .397449  .411635  .578249
  01_david                    761  .405166  .393171  .400434  .426524  .641439
  02_jumping                  313  .397127  .392429  .396186  .404973  .471528
  03_pedestrian1              140  .396197  .392459  .396076  .404792  .429088
  04_pedestrian2              338  .398713  .392349  .396557  .407969  .595152
  05_pedestrian3              184  .399878  .392549   .39789  .412788  .560637
  06_car                      945  .399183  .391788  .396547  .406616  .616722
  07_motocross               2665  .399605  .388302  .394603  .425832  .638163
  08_volkswagen              8576  .400276   .39239  .397829  .411485  .829092
  09_carchase                9928  .401928   .39269  .398962  .415753  .630147
  10_panda                   3000  .402419  .393342  .398571  .417146  .598117

BoofCV-Comaniciu
                              N       Mean      P05      P50      P95      MAX
  cliffbar                    328  .520598  .407308  .416043  .673298  3.99133
  coke11                      292  .409367  .404702   .40916  .416204  .585523
  david                       462   .28101   .22825  .279106  .296489  .995876
  dollar                      327  .399565   .39289  .398751  .415713  .608747
  faceocc                     886  .290922  .277724  .286189  .317809  .455358
  faceocc2                    812  .411254  .404342  .408379  .416995  .577368
  girl                        502  .425052    .3978  .415132  .490053  .741517
  surfer                      376  .405451  .401486  .404412  .412647  .485094
  sylv                       1344  .283124  .277263  .279146   .29181  .416074
  tiger1                      354   .41478  .402188  .408079  .459736  .659332
