# GENERATOR ECoCheckDetectionRegression
# Elapsed time in milliseconds

default
                              N       Mean      P05      P50      P95      MAX
  9x7n1/axis_blur_0            20  39.6399  33.9663  39.2488  44.2947  44.9341
  9x7n1/axis_blur_1            20  38.3495  33.4392  37.5983  42.1099  42.9695
  9x7n1/axis_blur_2            20   36.456  33.5684  37.0865  37.4335  37.4924
  9x7n1/axis_blur_3            20  35.8772  33.1624  36.0091  36.7858  40.8397
  9x7n1/axis_blur_4            20  35.0109   32.966  35.0117  36.1171  36.1467
  9x7n1/fade                   12  49.2481  35.5942  36.4383  91.0455  101.025
  9x7n1/fisheye_blur_0         30  37.4707  36.1267  36.6069  37.5261  60.7947
  9x7n1/fisheye_blur_1         30   37.593  36.4436  36.9704  41.9655  45.9195
  9x7n1/fisheye_blur_2         30  36.8664  36.2499   36.848  37.4526  37.6251
  9x7n1/fisheye_blur_3         30  36.3927  35.9767   36.284   36.867  37.1353
  9x7n1/fisheye_blur_4         30  35.4093  35.0308  35.3855  35.8552  35.9044
  9x7n1/fisheye_extreme        30  38.0891  37.4577  37.8256  38.7263  42.6117
  9x7n1/linear_blur            42   35.306   34.711  35.2402  35.9982  36.2901
  9x7n1/move_away              40    34.03  32.9641  33.4754  36.7278  37.1081
  9x7n1/rotate_z               40  36.4716  35.9535  36.3919  37.0789  37.3017
  9x7n1/shadows                30   35.726  35.2162  35.6462  36.3806  36.7931
  9x7n1/spotlight              30  35.0571   34.596  34.9591  35.6527  36.4562
  9x7n1e0/axis_blur_0          20  34.5497   32.943  34.6918  35.2596  35.2981
  9x7n1e0/axis_blur_1          20  34.8169  32.9613  34.7117  35.9282   35.937
  9x7n1e0/axis_blur_2          20  34.8728  33.1944  34.9613  35.8264  35.9066
  9x7n1e0/axis_blur_3          20  35.1473  33.1159  35.2356  36.2825  40.0969
  9x7n1e0/axis_blur_4          20  34.5971  32.5893  34.8498  35.1717  35.9629
  9x7n1e0/fade                 12  46.8683  34.8551  35.3194  83.4594  99.3745
  9x7n1e0/fisheye_blur_0       30  36.5789  35.1515  35.4387  37.8949   59.545
  9x7n1e0/fisheye_blur_1       30  35.6065   35.221  35.5288  36.1244  36.2169
  9x7n1e0/fisheye_blur_2       30  35.8272  35.4093    35.71  36.4675  36.6389
  9x7n1e0/fisheye_blur_3       30  35.3691  34.9695  35.2661  35.8837  35.9028
  9x7n1e0/fisheye_blur_4       30  35.2721  34.9047   35.195  35.9374  36.1595
  9x7n1e0/fisheye_extreme      30  36.2389   35.866    36.19   36.608   37.138
  9x7n1e0/linear_blur          42  34.7119  34.1317   34.683  35.1612  35.6064
  9x7n1e0/move_away            40   33.889  32.9408  33.7264   34.969  36.6335
  9x7n1e0/rotate_z             40  34.8372  34.3616  34.7315  35.4718  35.9174
  9x7n1e0/shadows              30  34.6068   34.309   34.565  35.0005    35.24
  9x7n1e0/spotlight            30  34.3072  33.9489  34.2971  34.5992  34.7581

Summary:
                              N       Mean      P05      P50      P95      MAX
  summary                     948  36.0147  33.5145  35.4392  38.1202  101.025
