# GENERATOR DisparityDistanceRegression
# Elapsed time in milliseconds

Summary:
                              N       Mean      P05      P50      P95      MAX
  BM5_SAD                     200  17.5774  15.5185  16.4605  20.4875  79.5756
  BM5_CENSUS                  200  22.1218  19.8848  20.8969  25.5052  100.384
  BM5_NCC                     200  30.6955  26.9899  28.5315  36.7387  143.787
  BM5_SSD                     200    16.63  14.9207  15.8187  19.4717  47.0791
  BM5_ZSSD                    200  27.2277  26.2329  26.5071  29.4439  91.3925
  BM_SAD                      200  7.69929  7.38161  7.53826   8.2821  17.0661
  BM_CENSUS                   200  11.6959  11.1842  11.3418  11.9844  57.8965
  BM_NCC                      200  14.9699   12.778  13.6778  20.6369  34.2286
  BM_SSD                      200  7.82367  7.53688   7.6588  8.30399  15.2272
  BM_ZSSD                     200   9.9914  8.71114  8.98035  14.5899   20.493
  SGM_ABSOLUTE_DIFFERENCE     200  124.107   120.67  122.393  128.358  252.758
  SGM_CENSUS                  200  130.733  125.752  129.151  140.943  145.285
  SGM_MUTUAL_INFORMATION      200  148.892   142.34  145.604  162.492  206.045
