# GENERATOR DisparityRegression
# Elapsed time in milliseconds

Summary:
                              N       Mean      P05      P50      P95      MAX
  BM5_SAD                      15  278.424  77.7179  300.596  325.615   335.23
  BM5_CENSUS                   15   327.93   93.039  349.002  383.725  384.697
  BM5_NCC                      15  479.321  148.659  509.006  560.762  567.939
  BM5_SSD                      15  272.583  76.6472  291.922  315.948  328.676
  BM5_ZSSD                     15  395.807   111.99  424.676  460.904  474.997
  BM_SAD                       15  119.473    31.66  128.998  141.879   143.85
  BM_CENSUS                    15  153.223  42.3371  161.544  180.159  181.821
  BM_NCC                       15  210.581  60.3372  225.766  250.238  251.434
  BM_SSD                       15  113.711  30.2934  124.237  135.741  137.206
  BM_ZSSD                      15  164.762  45.2535  174.464  196.093  202.272
  SGM_ABSOLUTE_DIFFERENCE      15  1679.42  475.634  1788.01  1982.86  2067.18
  SGM_CENSUS                   15  1942.21   536.88  2111.23  2264.44  2290.57
  SGM_MUTUAL_INFORMATION       15  1958.71  526.083  2112.28  2292.63  2313.35
