# GENERATOR TextThresholdRegression
# Elapsed time in milliseconds

Summary:
                              N       Mean      P05      P50      P95      MAX
  Global_Mean                  10  2.57362  1.00091   2.1194  5.40706  5.58827
  Global_Otsu                  10  2.55997  .906218  1.97763  4.57873   6.5358
  Global_Entropy               10  2.36652  .953447  2.07167  3.65889  5.28582
  Global_Li                    10  2.21417  .920665  1.94782  3.42653  4.58863
  Global_Huang                 10  3.49352  1.61368  3.15151   5.1764  8.60848
  Local_Mean                   10  8.22947    2.662  5.49753  13.0035  28.7832
  Local_Gaussian               10  45.0994  19.3105  38.1999  85.1175  91.1484
  Local_Otsu                   10  396.804  182.763  428.555  506.637    868.1
  Local_Sauvola                10  10.4139  3.46974  6.95578  21.4767  29.3796
  Local_NICK                   10  7.42515  2.69136  5.01476  16.6644  16.7428
  Block_Min-Max                10  5.10151  .910085  2.32698  14.6335  14.7764
  Block_Mean                   10  3.58693  .676696  2.43713  9.48533  12.0328
  Block_Otsu                   10  6.81387  1.40505  3.81096  16.7492  25.1465
