# GENERATOR ObjectTrackingRegression
# Elapsed time in milliseconds

BoofCV-TLD
                              N       Mean      P05      P50      P95      MAX
  cliffbar                    328  26.5229  24.1282  25.9424   29.606  90.9017
  coke11                      292  22.0909  18.2768  21.6041   25.756  33.2166
  david                       462  27.4223  16.3857  29.7686  34.5667  36.8612
  dollar                      327  10.6862  6.48123  11.7886  13.5843  16.0755
  faceocc                     886  27.9429  20.8257  27.7103  36.7899  50.9043
  faceocc2                    812  26.0265  20.4454  26.7757  31.9013  38.8254
  girl                        502  17.0823  11.4909  17.1222  21.4966  30.7082
  surfer                      376  18.9212  13.2036  19.2589  23.9371   26.425
  sylv                       1344  17.7976  7.51325  17.1825  30.2371   35.923
  tiger1                      354  24.6415  19.1178  24.9311  29.8267   33.701
  tiger2                      365  21.9839   16.199  22.5121  26.2805  29.3292
  twinings                    467   23.938  22.2605  23.5682  26.0148  42.6515
  01_david                    761  53.6013  45.5114  55.3115  58.6227  87.2087
  02_jumping                  313  39.6836  30.2327  40.5408  45.2697  59.5663
  03_pedestrian1              140  19.1066  15.0638   18.992  23.3039  24.7622
  04_pedestrian2              338   6.4482  .427877  7.50611  9.38059   11.879
  05_pedestrian3              184  8.98795  6.23662  8.04049  13.6684  16.5025
  06_car                      945  7.58932  3.23293  8.14221  10.7199  13.2154
  07_motocross               2665  18.5261  2.17461  18.9052  30.2235  48.7163
  08_volkswagen              8576  74.5838  53.3791  75.3037  96.8706   148.03
  09_carchase                9928  62.8149  23.3084  66.9032  87.4377  95.1975
  10_panda                   3000  15.1668  7.22905  14.2495  23.2667  26.2164

BoofCV-Circulant
                              N       Mean      P05      P50      P95      MAX
  cliffbar                    328  .659214  .418889  .430471  1.24953   10.929
  coke11                      292  .452295  .421725  .437394  .550246  .715838
  david                       462  .437513  .416765  .424169  .531762   .77514
  dollar                      327  .424232  .413528  .420582  .436753  .610901
  faceocc                     886  .428778  .414671  .422346  .450429  1.01302
  faceocc2                    812  .428589  .407988  .415082  .502376  1.83935
  girl                        502  .424086  .406316  .413008  .498519  .949558
  surfer                      376  .410637  .403099   .40878  .417406  .606192
  sylv                       1344   .41135  .403049   .40907   .42461  .657959
  tiger1                      354  .418619   .40369  .409651  .511834  .643272
  tiger2                      365   .40898  .401656  .404873  .413919  .806699
  twinings                    467  .410056  .401998  .406285  .421764  .547321
  01_david                    761   .41108  .399302   .40844  .431332  .554785
  02_jumping                  313  .418841  .404151  .411094  .443425   .75923
  03_pedestrian1              140  .424056   .40857  .414811  .499691  .699718
  04_pedestrian2              338  .423276  .406586  .413448  .514319   .75945
  05_pedestrian3              184   .40665  .397819  .404792  .418478  .526181
  06_car                      945  .416983  .404282  .410363   .43554  .641849
  07_motocross               2665  .411378  .400665  .407247  .434759  .687314
  08_volkswagen              8576  .410528  .398831  .407948  .426663  .677405
  09_carchase                9928  .406799    .3982  .404722  .418238  .825114
  10_panda                   3000  .411712  .401687  .407487  .424259  .676825

BoofCV-Comaniciu
                              N       Mean      P05      P50      P95      MAX
  cliffbar                    328  .546447  .431653  .449626  .732159    4.315
  coke11                      292  .451826  .441642  .453003  .472831  .618865
  david                       462  .297238   .24389  .288864  .315494  1.10968
  dollar                      327  .450586  .438065  .445208  .466559  .622192
  faceocc                     886  .302721  .286059  .300015  .325994   .54147
  faceocc2                    812  .451011  .441481  .448445  .463062  .598908
  girl                        502  .467663  .436072  .453354  .536721   .82309
  surfer                      376  .446278  .438766  .444216  .452803  .614407
  sylv                       1344  .291329  .285007  .288253  .305035  .395034
  tiger1                      354  .451099  .439948  .446611   .48854   .66367
  tiger2                      365  .454216   .44034  .450659  .475676  .612724
  twinings                    467  .451108  .440781  .448344  .464355  .617573
  01_david                    761  .312641  .030518  .437344  .460948   .46697
  02_jumping                  313  .460346  .441762  .450789  .507216  .779408
  03_pedestrian1              140  .450656  .441271  .447493  .491155  .595992
  04_pedestrian2              338  .457837  .439317  .449095  .528395  .626981
  05_pedestrian3              184  .410597  .157646  .444146  .463893  .521081
  06_car                      945  .460039  .441512  .448605  .524848  .670453
  07_motocross               2665  .438578  .420091  .436092  .457261  .926044
  08_volkswagen              8576  .248941  .020048  .290467  .336133   .46157
  09_carchase                9928   .44099  .415092  .423898  .538243  1.23897
  10_panda                   3000  .549238  .537282  .545998   .56305  .875258

BoofCV-MeanShiftHist
                              N       Mean      P05      P50      P95      MAX
  cliffbar                    328  .055291  .017523  .025829  .144752  3.14855
  coke11                      292  9.52E-03  7.67E-03  7.81E-03  .013486  .270169
  david                       462  .022357  3.81E-04  4.81E-04  .091312  .958645
  dollar                      327  .063756  .039505  .040647  .134333  1.47728
  faceocc                     886  .093916  .060264  .060985  .195598  1.82076
  faceocc2                    812  .078732  .066756  .067828  .105358  .695439
  girl                        502   .13952  .082615  .126138  .259348  .879727
  surfer                      376  .016396  8.70E-03  .013285  .032692   .14349
  sylv                       1344  .011669    .0105   .01067  .015109  .248728
  tiger1                      354  .014941  .011371  .011552  .029866  .092824
  tiger2                      365  .011546  9.85E-03  .010009  .017092  .092123
  twinings                    467  .032005  .025999   .02676   .04257  .251354
  01_david                    761  .010083  1.70E-04  2.10E-04  .023735  .114085
  02_jumping                  313  .022474  7.96E-03  .019116  .046678  .072637
  03_pedestrian1              140  .013808  6.17E-03  .011161  .028574  .052619
  04_pedestrian2              338  .012765  8.73E-03  9.25E-03  .025969  .056767
  05_pedestrian3              184  8.77E-03  1.70E-04  9.33E-03  .023304  .082866
  06_car                      945  .036587  .023003  .028764  .078988  .212731
  07_motocross               2665  2.70E-04  1.60E-04  1.90E-04  5.71E-04  .045055
  08_volkswagen              8576  3.47E-04  1.60E-04  1.80E-04  2.10E-04  .043051
  09_carchase                9928  9.73E-04  1.50E-04  1.71E-04  2.61E-04  .114946
  10_panda                   3000  5.40E-03  4.76E-03  4.88E-03  8.65E-03   .03748

BoofCV-SparseFlow
