# GENERATOR ECoCheckDetectionRegression
# Elapsed time in milliseconds

default
                              N       Mean      P05      P50      P95      MAX
  9x7n1/axis_blur_0            20  52.7577  45.8611   52.291  58.1309  59.1638
  9x7n1/axis_blur_1            20  51.6628  45.4429  50.9547   56.553  56.8523
  9x7n1/axis_blur_2            20  48.9625  45.3809  49.1651   50.579   50.855
  9x7n1/axis_blur_3            20  48.3808   45.504  48.7843  49.8102  49.8236
  9x7n1/axis_blur_4            20  47.3725  44.5353  47.4352  48.6549  48.8405
  9x7n1/fade                   12  63.1714  48.5348  48.8545  104.729  127.472
  9x7n1/fisheye_blur_0         30  50.1361  49.0288  49.5406  50.7937  62.3249
  9x7n1/fisheye_blur_1         30  49.8367   49.387  49.8235  50.1786  50.6376
  9x7n1/fisheye_blur_2         30  49.8321  49.2957   49.737  50.3852  50.7187
  9x7n1/fisheye_blur_3         30  49.4173  48.9268  49.3508  49.8876  49.9889
  9x7n1/fisheye_blur_4         30  47.7296  47.4028  47.6253  48.1377  48.8502
  9x7n1/fisheye_extreme        30  51.3786  50.9474  51.3191  51.7646  52.3448
  9x7n1/linear_blur            42  48.0472  47.2284  47.9733  48.9235  49.2107
  9x7n1/move_away              40  46.2207  45.0151  45.7033  49.4166  49.7646
  9x7n1/rotate_z               40  49.5595  49.1424  49.4884  50.0481  50.2429
  9x7n1/shadows                30  48.3806  47.9839  48.3683  48.7054  49.0719
  9x7n1/spotlight              30  47.5255  47.1471  47.5365  47.8931  48.2024
  9x7n1e0/axis_blur_0          20   46.708  45.1428  46.7032  47.3979  47.4573
  9x7n1e0/axis_blur_1          20  47.0597  45.2343  47.2505  47.7055   48.395
  9x7n1e0/axis_blur_2          20  47.2154  45.0087  47.4949  47.9302  47.9644
  9x7n1e0/axis_blur_3          20  47.0802   45.104  47.2381  47.8847  47.9182
  9x7n1e0/axis_blur_4          20  46.8517   44.323  47.0859  47.6195  47.7565
  9x7n1e0/fade                 12  60.7195  46.7351  47.3683  103.417   125.15
  9x7n1e0/fisheye_blur_0       30  48.2633  47.7184  47.8645  48.1905  58.1682
  9x7n1e0/fisheye_blur_1       30   48.281  48.0429  48.2192  48.7649  48.8583
  9x7n1e0/fisheye_blur_2       30  48.4462  48.1349  48.4649  48.6614  48.9234
  9x7n1e0/fisheye_blur_3       30  47.9277  47.6858  47.8198  48.4282  48.6621
  9x7n1e0/fisheye_blur_4       30   47.721  47.3252  47.6784  47.9408  48.3287
  9x7n1e0/fisheye_extreme      30  49.1152  48.7581  49.0853  49.6349  49.7339
  9x7n1e0/linear_blur          42  47.2929  46.5319  47.3399  47.8597  48.0223
  9x7n1e0/move_away            40  45.7756  44.8714  45.3946  47.8732   49.055
  9x7n1e0/rotate_z             40  47.4449  46.6068  47.4819  48.2435  48.3373
  9x7n1e0/shadows              30  46.9175  46.5514  46.9064   47.243  47.3071
  9x7n1e0/spotlight            30  46.5027  46.1395  46.3795  47.0341   47.475

Summary:
                              N       Mean      P05      P50      P95      MAX
  summary                     948  48.5805  45.3809  47.9179  51.3323  127.472
