# GENERATOR TextThresholdRegression
# Elapsed time in milliseconds

Summary:
                              N       Mean      P05      P50      P95      MAX
  Global_Mean                  10  2.15895  .845536  1.74409  4.08035  5.59227
  Global_Otsu                  10  2.24111  .811493  1.56025  3.53959  7.39021
  Global_Entropy               10  1.88385  .922374  1.67022  2.77346  4.03184
  Global_Li                    10  1.68886  .773422  1.49446  2.59254  3.25908
  Global_Huang                 10  3.18815  1.84903  2.91599  3.99037  7.06152
  Local_Mean                   10  7.44052  2.77029  5.00115  11.9161  26.3382
  Local_Gaussian               10   64.786  26.8973  53.6057  120.228  141.717
  Local_Otsu                   10  1266.31  591.842  1379.16  1497.39  2746.36
  Local_Sauvola                10  9.99773  3.13633  6.50474  21.2764  31.7788
  Local_NICK                   10  8.06756  3.21353  6.66805  15.9571  15.9806
  Block_Min-Max                10   4.8775  .863218  2.40523  14.6007  14.8493
  Block_Mean                   10   3.1755  .673822  1.96607  8.79352  10.7099
  Block_Otsu                   10  7.26209  1.77812  4.18524  18.1364  25.3836
