# GENERATOR ObjectTrackingRegression
# Elapsed time in milliseconds

BoofCV-TLD
                              N       Mean      P05      P50      P95      MAX
  cliffbar                    328  35.9443  33.9503  35.6309  37.6267  108.928
  coke11                      292  30.3358  25.4128  29.1153  36.3145  45.4042
  david                       462  36.9435    21.83  39.7852   47.227  49.2233
  dollar                      327  14.5354  9.15787  15.7298  17.9433  18.7463
  faceocc                     886  36.9641   28.383  36.1393  47.3982  49.0199
  faceocc2                    812  35.8766  27.9337  36.6365  44.4785  55.4344
  girl                        502  23.4612  17.4478  23.0745  28.9655  48.0193
  surfer                      376  25.5573  18.2649  25.9256  31.6637   34.859
  sylv                       1344  23.7881  10.2369  24.1538  39.2645  41.4404
  tiger1                      354  28.7667  23.6901  28.8686  32.6188  43.9253
  tiger2                      365  27.4123  22.1571  28.2564  31.2301  40.7607
  twinings                    467  32.9128  30.3286  32.7555  35.4412  67.5627
  01_david                    761   74.903  60.0096  72.8207  88.3311  133.736
  02_jumping                  313  55.1553  45.3231  56.4593    62.22  95.8841
  03_pedestrian1              140  23.8183  20.2028  23.8956    27.51  39.2919
  04_pedestrian2              338  9.49114  .622277  11.4559  14.7464  15.1591
  05_pedestrian3              184  11.8624  7.95967   10.755   17.324  18.9459
  06_car                      945  10.1026  4.73536  11.0121  14.5617  24.6644
  07_motocross               2665  32.7228  4.67364  34.5773  55.0162  78.3323
  08_volkswagen              8576  91.8285  69.2363  91.9755  120.394  145.047
  09_carchase                9928   53.143  31.3625  53.4418  71.7169   80.419
  10_panda                   3000  27.4236  11.2143  26.8493  40.1313  53.0829

BoofCV-Circulant
                              N       Mean      P05      P50      P95      MAX
  cliffbar                    328   .83935  .563623  .582204  1.66655  11.7608
  coke11                      292  .570497   .55619  .568724  .603904  .858684
  david                       462  .631355  .617795  .621511  .668101  .924861
  dollar                      327  .620052  .607115  .620739  .635571  .893274
  faceocc                     886  .627782  .617692   .62078  .653349  1.10319
  faceocc2                    812  .617887  .596743  .610847  .652703  1.48559
  girl                        502  .577373  .555554  .568373  .659816  .949826
  surfer                      376  .563392  .554416  .555432  .587381  1.31277
  sylv                       1344   .57377  .554455  .566701  .601422  .911254
  tiger1                      354  .564339  .554112  .555173  .600331   .83687
  tiger2                      365  .562241  .553901  .555137  .591512  .750037
  twinings                    467  .566547  .553977   .56332  .598232  .815371
  01_david                    761  .571744  .563446   .56657  .599841  .846252
  02_jumping                  313   .55682  .553675  .554685  .587452  .630857
  03_pedestrian1              140  .560716   .55389  .559214  .591847  .599144
  04_pedestrian2              338  .557153  .553844  .554679  .586213  .638643
  05_pedestrian3              184  .569109  .555213  .567639  .603102  .669599
  06_car                      945  .570238  .559693  .568369  .587066  .815391
  07_motocross               2665  .565113  .554098  .565517  .576562  .782847
  08_volkswagen              8576  .584856  .568271  .582358  .613015   1.3796
  09_carchase                9928  .587203  .573169  .580179  .614937  1.67036
  10_panda                   3000  .566237  .554112  .565911  .590788  .762199

