# GENERATOR ECoCheckDetectionRegression
# Elapsed time in milliseconds

default
                              N       Mean      P05      P50      P95      MAX
  9x7n1/axis_blur_0            20  48.2787  41.5341  47.8766  53.0544  54.7833
  9x7n1/axis_blur_1            20  46.8093  40.7177  46.1471  50.8758  50.9857
  9x7n1/axis_blur_2            20  44.3471  40.6113    44.73  45.8444  46.3711
  9x7n1/axis_blur_3            20   43.602   40.807  43.9785  45.2768  45.3031
  9x7n1/axis_blur_4            20  42.5684  39.8093  42.6424  43.7817  43.9316
  9x7n1/fade                   12  59.5375   43.759    44.25  106.419  125.971
  9x7n1/fisheye_blur_0         30  45.4155  44.3422  44.8737  45.9441  57.2961
  9x7n1/fisheye_blur_1         30  45.2853  44.7419  45.2297  45.6816  46.4061
  9x7n1/fisheye_blur_2         30  44.9726  44.4726  44.8073  45.7379   45.963
  9x7n1/fisheye_blur_3         30  44.3187  43.8413  44.2706  44.6937  45.0883
  9x7n1/fisheye_blur_4         30  42.9925  42.6088  42.9031  43.4847  43.9701
  9x7n1/fisheye_extreme        30  46.5473  46.1709  46.5266  46.8348  47.1221
  9x7n1/linear_blur            42   43.361  42.5653  43.2802  44.0798  44.1735
  9x7n1/move_away              40  41.5874  40.2717  41.0277  44.9757  45.3155
  9x7n1/rotate_z               40  44.9386  44.5077  44.9651  45.4642  45.6611
  9x7n1/shadows                30  43.7821  43.2103  43.7388  44.3689  44.5253
  9x7n1/spotlight              30  42.8321  42.4212  42.8214  43.3819  43.5376
  9x7n1e0/axis_blur_0          20  42.0421  40.5698  42.2132  42.6996  42.8702
  9x7n1e0/axis_blur_1          20  42.5458   40.642  42.7225  43.7678  43.8971
  9x7n1e0/axis_blur_2          20  42.5998  40.5485  42.9245    43.19  43.4291
  9x7n1e0/axis_blur_3          20  42.4743  40.3787  42.7056  43.1237  43.3251
  9x7n1e0/axis_blur_4          20  42.1383  39.9262  42.3482  42.8574  42.8575
  9x7n1e0/fade                 12  56.4061  41.9952  42.6885  99.8232  123.706
  9x7n1e0/fisheye_blur_0       30  43.5335  42.9242  43.1217  43.6006  53.3538
  9x7n1e0/fisheye_blur_1       30  43.5539  43.2448  43.4807  43.9428  44.2689
  9x7n1e0/fisheye_blur_2       30  43.7916  43.4481  43.7179  44.2403  44.8998
  9x7n1e0/fisheye_blur_3       30  43.2383  42.9461  43.1139  43.8401  44.2716
  9x7n1e0/fisheye_blur_4       30  43.0383   42.851  42.9665  43.3573  43.6011
  9x7n1e0/fisheye_extreme      30  44.2231  43.9106  44.2022  44.5829  44.6243
  9x7n1e0/linear_blur          42  42.4562  41.8639  42.4065  42.9767  43.2274
  9x7n1e0/move_away            40  41.2095  40.2657  40.8006  43.1442  44.6163
  9x7n1e0/rotate_z             40  42.6947  41.9162  42.6627  43.4724  43.8911
  9x7n1e0/shadows              30   42.287   41.799  42.3097  42.6328  42.8756
  9x7n1e0/spotlight            30  41.7436  41.3628  41.6526  42.0895  42.5453

Summary:
                              N       Mean      P05      P50      P95      MAX
  summary                     948  43.8899  40.7876  43.2103  46.5554  125.971
