# GENERATOR AztecCodeDetectionRegression
# Elapsed time in milliseconds

default
                              N       Mean      P05      P50      P95      MAX
  /crumpled_layers_02          13  12.4616  8.98537  11.8558  16.1466  22.8881
  /crumpled_layers_17          13  15.2552  13.0324  14.6772  17.8212  18.5267
  /documents                    4  7.05926  5.16654  5.99158  7.05729  10.0216
  /image_12mp                   6  110.202  54.6154  88.0288  147.629  177.002
  /layers_02                   11   5.1107  4.89753  5.14305  5.20251    5.233
  /layers_05                   11  5.82947  5.53076  5.87737  5.99258  6.09427
  /layers_17                   17  10.3842  8.96354  9.55213   13.171   13.595
  /monitor                     18  17.6654  12.7746   14.486  27.1265  34.2315
  /outdoors                    17  20.3018  14.0688  17.3522   31.149  31.9114
  synthetic/axis_blur_0        20  38.0397  36.4689  37.5838  40.4664  40.8902
  synthetic/axis_blur_1        20  37.9207  36.2853  37.3591  40.0739   40.129
  synthetic/axis_blur_2        20  37.8836  36.2769  37.3901  40.0349  40.1475
  synthetic/axis_blur_3        20   37.717  35.9877  37.3785  39.8883  39.9103
  synthetic/axis_blur_4        20  38.5274  35.9342  37.3988  39.9343  54.5926
  synthetic/fade               12  38.2872  37.5021  37.8761  39.1177  41.7932
  synthetic/fisheye_blur_0     30  39.4334  38.9833  39.4572  39.8024  39.8907
  synthetic/fisheye_blur_1     30  39.4103  38.9598  39.4273  39.8034  40.0006
  synthetic/fisheye_blur_2     30  39.3823  38.9139  39.4092  39.7137   39.976
  synthetic/fisheye_blur_3     30  39.2888  38.8213  39.2976  39.7043  39.8936
  synthetic/fisheye_blur_4     30  39.3005   38.788  39.2456  39.9418  40.0681
  synthetic/fisheye_extreme     30  31.2355   30.154  31.0217  32.2606  35.5389
  synthetic/linear_blur        42   37.936  37.5845  37.8837   38.301  38.3698
  synthetic/move_away          40   40.555  33.7957  41.4255   41.756  41.8817
  synthetic/rotate_z           40  35.9437   35.643  35.8899  36.3594  37.1813
  synthetic/shadows            30  37.5732  37.1552  37.5295  37.9416  38.3021
  synthetic/spotlight          30  38.3562  37.2361  38.0563  39.7729  39.8693

Summary:
                              N       Mean      P05      P50      P95      MAX
  summary                     584  34.3213  9.17157  37.8574  41.3716  177.002
