# GENERATOR TextThresholdRegression
# Elapsed time in milliseconds

Summary:
                              N       Mean      P05      P50      P95      MAX
  Global_Mean                  10  2.21056  .819286  1.69618  3.89822  6.71714
  Global_Otsu                  10  2.13253  .770163  1.48377  3.25166  7.10471
  Global_Entropy               10  1.87426  .925562  1.60552  2.75903  4.04945
  Global_Li                    10  1.62427  .757255  1.44018  2.46739  3.19107
  Global_Huang                 10  3.13624   1.8832  2.90561  3.85147  6.53616
  Local_Mean                   10   12.336  4.25326  6.97021  15.5971   52.453
  Local_Gaussian               10  60.7207  25.9415  53.1276  102.016  122.755
  Local_Otsu                   10  1320.43  609.189  1452.54   1643.5  2886.82
  Local_Sauvola                10  16.6493  5.99146  13.2567  28.6148  42.8124
  Local_NICK                   10  15.8618  7.92853  14.0999  26.7897  27.4255
  Block_Min-Max                10  5.76801  1.08612  2.19538  17.0145  20.2167
  Block_Mean                   10  3.39469  1.07483  1.92452  9.77997  10.2282
  Block_Otsu                   10  8.28391  2.06762  4.26869  25.4115  27.0165
