# GENERATOR ObjectTrackingRegression
# Elapsed time in milliseconds

BoofCV-TLD
                              N       Mean      P05      P50      P95      MAX
  cliffbar                    328  42.7924  39.8593  42.0599  46.0481  121.275
  coke11                      292  34.9245  29.6282  34.1346  40.1429  53.1817
  david                       462  44.5522  27.0305  48.0914  56.0335  60.2804
  dollar                      327  16.8559  10.4495  18.5494  20.8376  22.2386
  faceocc                     886  43.5388  34.1232  42.5289  55.5265  61.7748
  faceocc2                    812  41.1827  33.5265  42.1499   49.031  57.3458
  girl                        502  27.1281  18.5768  27.3165  34.0075   50.144
  surfer                      376  30.6402  21.3944  31.2041  38.3366  42.5668
  sylv                       1344  25.3231  11.7766  24.9554  40.7871   44.069
  tiger1                      354  37.8517  30.3828  38.0847  44.6792  49.0704
  tiger2                      365  33.8795  26.3973  34.2658  39.2951  42.5985
  twinings                    467  39.1192  36.6422  38.9066   41.998  70.1763
  01_david                    761  86.7345  74.2021  89.0914   93.764  141.139
  02_jumping                  313  63.7526  50.9375  65.2848  71.6322  96.6774
  03_pedestrian1              140  30.1613  24.1502  30.1528  36.3748   39.485
  04_pedestrian2              338  10.0636  .675402  11.8685  14.4365  17.8591
  05_pedestrian3              184  14.3335  9.78869  12.7723  21.5884  25.2192
  06_car                      945  11.6676  5.18803  12.6224  16.2848  22.6473
  07_motocross               2665  27.5534  3.31818  27.9308  45.5016  71.3347
  08_volkswagen              8576  109.637  83.0633    110.5   139.33  171.718
  09_carchase                9928  85.4631  36.0411  90.2602  117.686  131.886
  10_panda                   3000  21.4097  10.9475  20.5115  31.7053   44.341

BoofCV-Circulant
                              N       Mean      P05      P50      P95      MAX
  cliffbar                    328  .857269  .620288  .642057    1.735  13.1523
  coke11                      292  .630046  .618691  .632101  .660103  .707433
  david                       462  .617505  .603865  .605534  .695344  .882568
  dollar                      327  .605434   .59245  .605262  .636631  .679065
  faceocc                     886  .609854   .60289  .605762  .639222  1.08866
  faceocc2                    812  .621007  .604932  .619242  .652923  .756236
  girl                        502  .619524  .603339  .617651  .649384  .954702
  surfer                      376  .614351  .606714  .608515  .640397  .931694
  sylv                       1344  .625963   .61947  .620618  .655071  .762867
  tiger1                      354  .615361  .605348  .608558   .64395  .702586
  tiger2                      365  .609681   .60411  .607233  .641268  .765026
  twinings                    467  .610782   .60505  .607129  .642058  .832125
  01_david                    761  .600908  .569413  .606428  .640097  .835791
  02_jumping                  313  .613971  .606015  .608143  .640401  .759051
  03_pedestrian1              140  .619257  .612342  .619775  .649149  .682951
  04_pedestrian2              338  .629174  .604705  .619592  .658444  1.47068
  05_pedestrian3              184  .595956  .579198  .582865  .625688   .69907
  06_car                      945  .622365  .611985  .620314  .653836  .915975
  07_motocross               2665  .587149  .570967  .572749   .62159  1.12132
  08_volkswagen              8576  .604619  .582405  .595965  .644568  1.00748
  09_carchase                9928  .589719  .579137   .58269  .619717  1.32675
  10_panda                   3000  .621309  .582911  .619372  .653282   1.1098

BoofCV-Comaniciu
                              N       Mean      P05      P50      P95      MAX
  cliffbar                    328  .644252  .506003  .512291   .88724   4.8551
  coke11                      292  .506417  .503339  .504235  .536109  .659105
  david                       462  .334061  .273405  .310456  .348069  2.06201
  dollar                      327  .507222  .505517  .506242  .538957  .592041
  faceocc                     886  .325485  .309739  .323641  .350476  .401154
  faceocc2                    812  .508053   .49655  .507714  .531259  .723523
  girl                        502  .538531  .507366  .512269  .621417  .684701
  surfer                      376  .500632  .493372   .49445  .527551  .646378
  sylv                       1344  .314468  .309361  .309786  .341673   .43704
  tiger1                      354  .512756  .503783  .504941  .605667  .616754
  tiger2                      365  .505391  .493739  .504279  .536972  .596569
  twinings                    467  .506836   .49537  .506291  .530479  .728946
  01_david                    761  .391192   .03485  .563239  .581267  .628236
  02_jumping                  313  .504898  .502169  .504654  .510777  .545985
  03_pedestrian1              140   .50308  .503423  .505055   .50974  .540853
  04_pedestrian2              338  .529539  .503955  .507524  .640363  .724665
  05_pedestrian3              184  .472868  .192774  .505593  .558044  .633646
  06_car                      945  .530198  .503788  .507591  .621408  .691185
  07_motocross               2665  .570945  .559337  .571027  .594774  .805544
  08_volkswagen              8576  .306013  .024708   .36057  .402593  .538672
  09_carchase                9928  .599047  .498316  .560031  .928035  2.05331
  10_panda                   3000   .84949  .842062  .843315  .879647  2.09492

BoofCV-MeanShiftHist
                              N       Mean      P05      P50      P95      MAX
  cliffbar                    328  .073855  .027911  .040858  .192524  2.48308
  coke11                      292  .014985  .012409  .012543  .023371  .271257
  david                       462  .031311  2.21E-04  3.29E-04  .137873  .929098
  dollar                      327  .096004  .065863  .066201  .184374  1.47569
  faceocc                     886  .137077  .086364   .08828    .2829  2.06021
  faceocc2                    812  .130498  .113678  .114049  .191814  1.08524
  girl                        502  .223995  .141009  .204176   .39603  1.30165
  surfer                      376  .023856  .013818  .017989  .045023  .176545
  sylv                       1344   .01742  .014484  .014599  .033779  .210427
  tiger1                      354  .024191  .018344  .018955  .050278  .120828
  tiger2                      365  .017738  .015983  .016095  .023818  .133741
  twinings                    467  .050989  .043443  .043617   .07324  .422526
  01_david                    761  .016528  1.49E-04  2.27E-04  .038905  .181208
  02_jumping                  313   .03439  .012923  .029479  .068439  .110595
  03_pedestrian1              140   .02137  9.76E-03   .01752    .0428  .078261
  04_pedestrian2              338  .019936  .013982  .014251  .041902  .093635
  05_pedestrian3              184  .013655  1.58E-04  .014957  .037182  .136325
  06_car                      945  .058002  .038979  .039378  .119814   .33264
  07_motocross               2665  2.89E-04  1.52E-04  1.97E-04  4.11E-04  .046589
  08_volkswagen              8576  4.41E-04  1.19E-04  1.43E-04  3.14E-04  .061412
  09_carchase                9928  1.50E-03  1.10E-04  1.71E-04  3.74E-04   .18091
  10_panda                   3000  8.54E-03  7.59E-03  7.90E-03  .012132  .039971

BoofCV-SparseFlow
                              N       Mean      P05      P50      P95      MAX
  cliffbar                     77  7.11446  3.44759  6.80157  10.0556  12.6714
  coke11                       31  6.29506  4.30757  6.20884  9.02887    9.375
  david                       389  7.73712  5.91773  7.69602  9.69159  12.5777
  dollar                      327  4.87469  2.64266  4.50371  8.13005  8.84522
  faceocc                     614  5.83976  3.33267  5.79184  8.63138  10.4209
  faceocc2                    369  5.47499  3.72061  5.47579  7.77766  11.0614
  girl                          7  9.19943  .553082  9.03287  12.7897  14.0721
  surfer                        6  7.30283  1.37563  7.86037  9.61625  10.3431
  sylv                        571  6.02186  3.91604  6.22966  7.92758  12.1907
  tiger1                       25  9.01638  6.36392  9.49726  10.7469  10.9468
  tiger2                       39  9.22585   4.6139  9.82862  11.3934  12.3506
  twinings                    342  4.99853  2.73328  4.92274   8.1594  9.82576
  01_david                      2  4.98101  .541888  .541888  .541888  9.42013
  02_jumping                   15  6.67679  .795382  6.85578  8.56804  8.85355
  03_pedestrian1                9  9.47916   .63604  9.68239  12.9597  14.0295
  04_pedestrian2               16  8.74255  .548831  9.02341  10.4158  10.6912
  05_pedestrian3               54  7.87426  6.21058  7.88045  9.65443  10.9536
  06_car                      211  6.93494  4.55324  6.99906  9.22765  10.7652
  07_motocross                  8  10.6732  1.12822  11.2864  13.0602  17.6497
  08_volkswagen               274  7.85408  5.92915  7.91956  9.57556  13.5249
  09_carchase                  67  6.26805  4.11541  6.20822  9.49407  10.5061
  10_panda                     52   5.6766  2.51167  6.15266  7.49388  8.50439

Summary:
                              N       Mean      P05      P50      P95      MAX
  BoofCV-TLD                33365  67.7111  12.9256   73.388  124.209  171.718
  BoofCV-Circulant          33365  .605939  .572985  .605148  .642322  13.1523
  BoofCV-Comaniciu          33365  .503496  .079738  .510286  .847506   4.8551
  BoofCV-MeanShiftHist      33365  .018613  1.22E-04  2.72E-04  .113818  2.48308
  BoofCV-SparseFlow          3505  6.26829  3.06437  6.30494  9.25449  17.6497
