# GENERATOR StereoSequenceConsistencyRegression
Scenario: ground_tile

Frame Type  Overlap |  mean   p50   p95   p995  max
 12  same     87%   | -0.041 0.114 0.260 0.380 337.173
 12  project  80%   |  0.058 0.060 0.120 0.177 110.817
 13  same     86%   |  1.061 0.169 0.372 0.422 3668.993
 13  project  80%   |  0.146 0.132 0.198 0.242 912.018
 14  same     86%   |  1.061 0.090 0.198 0.279 3163.925
 14  project  79%   |  0.036 0.019 0.077 0.124 551.713
 15  same     87%   | -0.766 0.046 0.123 0.160 2353.792
 15  project  80%   |  0.734 0.076 0.143 0.208 2353.715
 16  same     87%   |  0.190 0.044 0.120 0.160 185.428
 16  project  81%   |  0.018 0.022 0.069 0.124 32.822
 17  same     86%   |  0.483 0.177 0.379 0.510 2985.878
 17  project  79%   |  0.077 0.058 0.127 0.176 547.853
 18  same     86%   |  0.192 0.089 0.221 0.253 3516.509
 18  project  79%   |  0.717 0.195 0.271 0.313 3467.721
 19  same     86%   |  0.658 0.067 0.171 0.261 3526.456
 19  project  80%   |  0.138 0.131 0.185 0.221 251.951
 20  same     86%   |  0.235 0.043 0.135 0.195 2861.855
 20  project  78%   |  0.290 0.242 0.308 0.354 2561.076
 21  same     85%   | -0.072 0.246 0.573 0.620 3549.271
 21  project  79%   |  0.381 0.202 0.262 0.315 3551.814
 22  same     85%   |  0.080 0.137 0.312 0.401 2077.707
 22  project  78%   | -0.041 0.017 0.060 0.126 714.198
 23  same     86%   | -0.084 0.200 0.384 0.427 575.724
 23  project  79%   |  0.074 0.079 0.131 0.176 183.803
 24  same     85%   |  0.703 0.061 0.172 0.224 3573.979
 24  project  79%   | -0.139 0.105 0.152 0.195 2521.121
 25  same     85%   | -0.012 0.122 0.244 0.301 2043.193
 25  project  78%   |  0.027 0.025 0.079 0.114 456.227
 26  same     86%   | -0.516 0.101 0.207 0.242 1876.953
 26  project  79%   |  0.100 0.072 0.126 0.171 2274.272
 27  same     87%   |  0.578 0.025 0.070 0.137 3311.527
 27  project  81%   |  0.016 0.020 0.068 0.105 505.415
 28  same     86%   | -0.258 0.126 0.255 0.326 3971.105
 28  project  80%   |  0.059 0.041 0.090 0.131 1131.848
 29  same     86%   |  0.701 0.021 0.070 0.150 2892.149
 29  project  80%   |  0.142 0.168 0.221 0.257 1926.068
 30  same     86%   | -0.371 0.167 0.406 0.489 1596.342
 30  project  79%   |  0.390 0.147 0.215 0.259 692.440
 31  same     87%   |  0.079 0.035 0.091 0.175 330.330
 31  project  81%   | -0.023 0.026 0.075 0.173 211.648
 32  same     86%   | -0.006 0.089 0.210 0.276 339.922
 32  project  79%   |  0.003 0.022 0.088 0.145 1508.104
 33  same     85%   | -0.403 0.045 0.134 0.168 2012.581
 33  project  78%   | -0.047 0.062 0.138 0.183 256.971
 34  same     87%   |  0.239 0.026 0.073 0.104 1743.130
 34  project  81%   |  0.004 0.025 0.081 0.123 460.712
 35  same     86%   |  0.356 0.058 0.173 0.236 3192.833
 35  project  79%   | -0.039 0.053 0.117 0.176 568.859
 36  same     85%   | -0.432 0.098 0.229 0.286 1801.538
 36  project  78%   |  0.037 0.072 0.145 0.194 409.967

Overall: N=50 average_P95=0.1825
